sample	patient	celltype1	celltype2	Tumor
PD10_ZZM_TNLCD45N15_20161228	P1228	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TNL_191_1228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNLCD45N131_20161228	P1228	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TNL_183_1228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TL_77_1228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNL_154_1228	P1228	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TNLCD45N34_20161228	P1228	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TNLCD45N57_20161228	P1228	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TL_20_1228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N58_20161228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNL_151_1228	P1228	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TNLCD45N45_20161228	P1228	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TL_74_1228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNL_148_1228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N130_20161228	P1228	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TL_26_1228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N106_20161228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N64_20161228	P1228	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TL_89_1228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N47_20161228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N109_20161228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N2_20161228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N56_20161228	P1228	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TL_14_1228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TL_9_1228	P1228	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NL_Plus_60_1228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_NL_Plus_31_1228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_NL_Plus_52_1228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45H98_20161228	P1228	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_PLCD59P17_20161228	P1228	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_NL_Plus_95_1228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45L86_20161228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45H142_20161228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45H100_20161228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_PLCD67P29_20161228	P1228	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_TLCD45H120_20161228	P1228	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_TLCD45H102_20161228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_PLCD45P85_20161228	P1228	CD8T	hT13_CD8_GPR183	nonTumor
PD10_ZZM_TLCD45H66_20161228	P1228	CD8T	hT18_CD8_LAYN	nonTumor
PD10_ZZM_TLCD45L6_20161228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45H79_20161228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45H157_20161228	P1228	CD8T	hT18_CD8_LAYN	nonTumor
PD10_ZZM_TLCD45H23_20161228	P1228	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_PLCD92P64_20161228	P1228	CD8T	hT13_CD8_GPR183	nonTumor
PD10_ZZM_TLCD45H114_20161228	P1228	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45H9_20161228	P1228	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_TLCD45H18_20161228	P1228	CD4T	hT09_CD4_CXCL13	nonTumor
PD10_ZZM_TLCD45H158_20161228	P1228	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_PLCD45P9_20161228	P1228	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_NL_Plus_37_1228	P1228	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_TLCD45H15_20161228	P1228	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_TLCD45H184_20161228	P1228	CD4T	hT04_CD4_TCF7	nonTumor
PD10_ZZM_NL_Plus_66_1228	P1228	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_TLCD45L51_20161228	P1228	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_PLCD45P3_20161228	P1228	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_TLCD45H86_20161228	P1228	CD4T	hT11_CD4_CTLA4	nonTumor
PD10_ZZM_NL_Plus_15_1228	P1228	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_NL_Plus_45_1228	P1228	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_PLCD89P60_20161228	P1228	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_TLCD45H173_20161228	P1228	CD4T	hT11_CD4_CTLA4	nonTumor
PD10_ZZM_TLCD45H25_20161228	P1228	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_TLCD45H191_20161228	P1228	CD4T	hT11_CD4_CTLA4	nonTumor
PD10_ZZM_TLCD45L28_20161228	P1228	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_NL_Plus_57_1228	P1228	CD4T	hT04_CD4_TCF7	nonTumor
PD10_ZZM_NL_Plus_62_1228	P1228	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_NL_Plus_77_1228	P1228	B	hB05_GCBCell_LRMP	nonTumor
PD10_ZZM_TLCD45L53_20161228	P1228	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NNL_Plus_20_1228	P1228	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NL_Plus_72_1228	P1228	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TLCD45H143_20161228	P1228	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45L33_20161228	P1228	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45L62_20161228	P1228	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_NL_Plus_92_1228	P1228	B	hB05_GCBCell_LRMP	nonTumor
PD10_ZZM_TLCD45H123_20161228	P1228	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45H118_20161228	P1228	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_NNL_Plus_34_1228	P1228	B	hB05_GCBCell_LRMP	nonTumor
PD10_ZZM_NL_Plus_63_1228	P1228	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TLCD45L49_20161228	P1228	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_NNL_Plus_2_1228	P1228	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TLCD45L74_20161228	P1228	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NNL_Plus_82_1228	P1228	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TLCD45L83_20161228	P1228	B	hB05_GCBCell_LRMP	nonTumor
PD10_ZZM_NNL_Plus_94_1228	P1228	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NNL_Plus_83_1228	P1228	B	hB05_GCBCell_LRMP	nonTumor
PD10_ZZM_NL_Plus_70_1228	P1228	B	hB05_GCBCell_LRMP	nonTumor
PD10_ZZM_TLCD45P350_1212	P1212	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TLCD45P253_1212	P1212	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_TNLCD45P6_1212	P1212	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TLCD45P281_1212	P1212	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TNLCD45P17_1212	P1212	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_PCD45P73_1212	P1212	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TNLCD45P14_1212	P1212	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TLCD45P168_1212	P1212	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TLCD45P85_20161212	P1212	Myeloid	hM13_TAM_SPP1	nonTumor
PD10_ZZM_PCD45P51_1212	P1212	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TLCD45P105_1212	P1212	Myeloid	hM02_pDC_LILRA4	nonTumor
PD10_ZZM_TLCD45P6_20161212	P1212	Myeloid	hM13_TAM_SPP1	nonTumor
PD10_ZZM_PCD45P66_1212	P1212	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TLCD45P1_20161212	P1212	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_PCD45P90_20161212	P1212	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_TLCD45P175_1212	P1212	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TNLCD45P4_1212	P1212	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TLCD45P196_1212	P1212	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_TLCD45P250_1212	P1212	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TNLCD45P9_1212	P1212	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_PCD45P5_1212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PCD45P58_1212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_PCD45P60_1212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PCD45P65_1212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PCD45P68_1212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PCD45P87_20161212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PCD45P89_1212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45P117_1212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TLCD45P121_1212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45P146_1212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45P163_1212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45P183_1212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TLCD45P225_1212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45P24_20161212	P1212	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TLCD45P245_1212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TLCD45P32_20161212	P1212	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TLCD45P332_1212	P1212	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TLCD45P384_1212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45P90_20161212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TNLCD45P22_1212	P1212	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45N27_1212	P1212	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TLCD45N51_1212	P1212	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TLCD45N82_1212	P1212	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TLCD45N83_1212	P1212	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNCD45N14_1212	P1212	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNCD45N31_1212	P1212	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNCD45N64_1212	P1212	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNLCD45N75_1212	P1212	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_PCD45N5_1212	P1212	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N15_1212	P1212	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TLCD45N96_1212	P1212	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TNLCD45N46_1212	P1212	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TNCD45N22_1212	P1212	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TNLCD45N88_1212	P1212	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNCD45N16_1212	P1212	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TLCD45N1_1212	P1212	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_PCD45N3_1212	P1212	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TNLCD45N74_1212	P1212	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TNLCD45N45_1212	P1212	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TLCD45N45_1212	P1212	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_PCD45N9_1212	P1212	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TLCD45N20_1212	P1212	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_PCD45N2_1212	P1212	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TLCD45N90_1212	P1212	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TNCD45N40_1212	P1212	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TNLCD45N65_1212	P1212	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TLCD45N21_1212	P1212	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TNCD45N5_1212	P1212	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TLCD45P158_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_PCD45P70_1212	P1212	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_PCD45P93_1212	P1212	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_PCD45P91_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_PCD45P45_20161212	P1212	CD8T	hT13_CD8_GPR183	nonTumor
PD10_ZZM_TLCD45P306_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45P244_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45P341_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45P40_20161212	P1212	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_PCD45P79_1212	P1212	CD8T	hT13_CD8_GPR183	nonTumor
PD10_ZZM_TLCD45P9_20161212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45P71_20161212	P1212	CD8T	hT13_CD8_GPR183	nonTumor
PD10_ZZM_TLCD45P135_1212	P1212	CD8T	hT16_CD8_CD6	nonTumor
PD10_ZZM_PCD45P16_1212	P1212	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_TLCD45P57_20161212	P1212	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_TLCD45P284_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_PCD45P92_1212	P1212	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_TLCD45P162_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45P180_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45P114_1212	P1212	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TLCD45P248_1212	P1212	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_TLCD45P16_20161212	P1212	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_TLCD45P15_20161212	P1212	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_TLCD45P102_1212	P1212	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_PCD45P30_1212	P1212	CD4T	hT03_CD4_GNLY	nonTumor
PD10_ZZM_TLCD45P186_1212	P1212	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_TLCD45P220_1212	P1212	CD4T	hT11_CD4_CTLA4	nonTumor
PD10_ZZM_TLCD45P127_1212	P1212	CD4T	hT09_CD4_CXCL13	nonTumor
PD10_ZZM_PCD45P72_1212	P1212	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_PCD45P22_20161212	P1212	CD4T	hT01_CD4_CCR7	nonTumor
PD10_ZZM_TLCD45P383_1212	P1212	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_TLCD45P365_1212	P1212	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_TLCD45P304_1212	P1212	CD4T	hT09_CD4_CXCL13	nonTumor
PD10_ZZM_TLCD45P364_1212	P1212	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_TLCD45P205_1212	P1212	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_PCD45P71_1212	P1212	CD4T	hT01_CD4_CCR7	nonTumor
PD10_ZZM_PCD45P25_20161212	P1212	CD4T	hT02_CD4_ANXA1	nonTumor
PD10_ZZM_TLCD45P76_20161212	P1212	CD4T	hT09_CD4_CXCL13	nonTumor
PD10_ZZM_PCD45P12_20161212	P1212	CD4T	hT09_CD4_CXCL13	nonTumor
PD10_ZZM_TLCD45P110_1212	P1212	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_PCD45P43_20161212	P1212	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_PCD45P8_1212	P1212	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TLCD45P104_1212	P1212	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45P128_1212	P1212	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45P140_1212	P1212	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45P145_1212	P1212	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45P361_1212	P1212	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45P46_1212	P1212	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TLCD45P60_20161212	P1212	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TLCD45P79_20161212	P1212	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TLCD45P87_20161212	P1212	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_Tmy_106_20170825	P0825	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_Pmy_124_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Pmy_33_20170825	P0825	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_Pmy_142_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Pmy_219_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Pmy_215_20170825	P0825	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_Pmy_206_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Tmy_88_20170825	P0825	Myeloid	hM13_TAM_SPP1	nonTumor
PD10_ZZM_Pmy_151_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Nmy_43_20170825	P0825	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_Pmy_80_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Pmy_110_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Pmy_134_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Pmy_220_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Pmy_125_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Tmy_124_20170825	P0825	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_Pmy_214_20170825	P0825	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_Pmy_180_20170825	P0825	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_Pmy_222_20170825	P0825	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_Tmy_20_20170825	P0825	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_Pnk_131_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Pnk_123_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Pnk_89_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Pmy_143_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Nnk_58_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Nnk_92_20170825	P0825	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_Nnk_86_20170825	P0825	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_Pnk_164_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Pnk_124_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Pmy_93_20170825	P0825	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_Nnk_95_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Tnk_40_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Tnk_4_20170825	P0825	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_Pmy_158_20170825	P0825	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_Nnk_8_20170825	P0825	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_Tnk_66_20170825	P0825	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_Nnk_27_20170825	P0825	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_Nnk_90_20170825	P0825	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_Pnk_172_20170825	P0825	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_Nnk_1_20170825	P0825	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NCD45n_5_20170825	P0825	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_NCD45n_83_20170825	P0825	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_17_20170825	P0825	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_184_20170825	P0825	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_207_20170825	P0825	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_236_20170825	P0825	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_33_20170825	P0825	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_35_20170825	P0825	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_87_20170825	P0825	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_180_20170825	P0825	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TCD45n_74_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TCD45n_222_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TCD45n_255_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_NCD45n_71_20170825	P0825	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TCD45n_50_20170825	P0825	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TCD45n_118_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TCD45n_100_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TCD45n_273_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_NCD45n_13_20170825	P0825	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TCD45n_46_20170825	P0825	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TCD45n_14_20170825	P0825	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NCD45n_72_20170825	P0825	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_20_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_NCD45n_1_20170825	P0825	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_173_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TCD45n_248_20170825	P0825	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TCD45n_54_20170825	P0825	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TCD45n_38_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TCD45n_111_20170825	P0825	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_Pmy_51_20170825	P0825	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_Pmy_63_20170825	P0825	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_Pmy_71_20170825	P0825	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_Pmy_7_20170825	P0825	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_Pnk_145_20170825	P0825	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_Pnk_154_20170825	P0825	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_Tnk_31_20170825	P0825	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_Tnk_90_20170825	P0825	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_Tnk_91_20170825	P0825	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_Nnk_42_20170825	P0825	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_Pmy_213_20170825	P0825	CD4T	hT03_CD4_GNLY	nonTumor
PD10_ZZM_Pmy_59_20170825	P0825	CD4T	hT03_CD4_GNLY	nonTumor
PD10_ZZM_Tmy_79_20170825	P0825	CD4T	hT11_CD4_CTLA4	nonTumor
PD10_ZZM_Tnk_69_20170825	P0825	CD4T	hT11_CD4_CTLA4	nonTumor
