sample	well_quality	cell_type	fastq_url	patient
HP1502401_O2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630448/ERR1630448.fastq.gz	HP1502401
HP1502401_O20	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630449/ERR1630449.fastq.gz	HP1502401
HP1502401_O21	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630450/ERR1630450.fastq.gz	HP1502401
HP1502401_O22	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630451/ERR1630451.fastq.gz	HP1502401
HP1502401_O23	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630452/ERR1630452.fastq.gz	HP1502401
HP1502401_O24	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630453/ERR1630453.fastq.gz	HP1502401
HP1502401_O3	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630454/ERR1630454.fastq.gz	HP1502401
HP1502401_O4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630455/ERR1630455.fastq.gz	HP1502401
HP1502401_O5	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630456/ERR1630456.fastq.gz	HP1502401
HP1502401_O6	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630457/ERR1630457.fastq.gz	HP1502401
HP1502401_O7	OK	co-expression cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630458/ERR1630458.fastq.gz	HP1502401
HP1502401_O8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630459/ERR1630459.fastq.gz	HP1502401
HP1502401_O9	OK	mast cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630460/ERR1630460.fastq.gz	HP1502401
HP1504101T2D_A1	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630461/ERR1630461.fastq.gz	HP1504101T2D
HP1504101T2D_A10	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630462/ERR1630462.fastq.gz	HP1504101T2D
HP1504101T2D_A11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630463/ERR1630463.fastq.gz	HP1504101T2D
HP1504101T2D_A12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630464/ERR1630464.fastq.gz	HP1504101T2D
HP1504101T2D_A13	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630465/ERR1630465.fastq.gz	HP1504101T2D
HP1504101T2D_A14	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630466/ERR1630466.fastq.gz	HP1504101T2D
HP1504101T2D_A15	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630467/ERR1630467.fastq.gz	HP1504101T2D
HP1504101T2D_A16	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630468/ERR1630468.fastq.gz	HP1504101T2D
HP1504101T2D_A17	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630469/ERR1630469.fastq.gz	HP1504101T2D
HP1504101T2D_A18	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630470/ERR1630470.fastq.gz	HP1504101T2D
HP1504101T2D_A19	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630471/ERR1630471.fastq.gz	HP1504101T2D
HP1504101T2D_A2	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630472/ERR1630472.fastq.gz	HP1504101T2D
HP1504101T2D_A20	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630473/ERR1630473.fastq.gz	HP1504101T2D
HP1504101T2D_A21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630474/ERR1630474.fastq.gz	HP1504101T2D
HP1504101T2D_A22	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630475/ERR1630475.fastq.gz	HP1504101T2D
HP1504101T2D_A23	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630476/ERR1630476.fastq.gz	HP1504101T2D
HP1504101T2D_A24	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630477/ERR1630477.fastq.gz	HP1504101T2D
HP1504101T2D_A3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630478/ERR1630478.fastq.gz	HP1504101T2D
HP1504101T2D_A4	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630479/ERR1630479.fastq.gz	HP1504101T2D
HP1504101T2D_A5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630480/ERR1630480.fastq.gz	HP1504101T2D
HP1504101T2D_A6	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630481/ERR1630481.fastq.gz	HP1504101T2D
HP1504101T2D_A7	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630482/ERR1630482.fastq.gz	HP1504101T2D
HP1504101T2D_A8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630483/ERR1630483.fastq.gz	HP1504101T2D
HP1504101T2D_A9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630484/ERR1630484.fastq.gz	HP1504101T2D
HP1504101T2D_B1	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630485/ERR1630485.fastq.gz	HP1504101T2D
HP1504101T2D_B10	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630486/ERR1630486.fastq.gz	HP1504101T2D
HP1504101T2D_B11	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630487/ERR1630487.fastq.gz	HP1504101T2D
HP1504101T2D_B12	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630488/ERR1630488.fastq.gz	HP1504101T2D
HP1504101T2D_B13	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630489/ERR1630489.fastq.gz	HP1504101T2D
HP1504101T2D_B14	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630490/ERR1630490.fastq.gz	HP1504101T2D
HP1504101T2D_B15	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630491/ERR1630491.fastq.gz	HP1504101T2D
HP1504101T2D_B16	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630492/ERR1630492.fastq.gz	HP1504101T2D
HP1504101T2D_B17	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630493/ERR1630493.fastq.gz	HP1504101T2D
HP1504101T2D_B18	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630494/ERR1630494.fastq.gz	HP1504101T2D
HP1504101T2D_B19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630495/ERR1630495.fastq.gz	HP1504101T2D
HP1504101T2D_B2	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630496/ERR1630496.fastq.gz	HP1504101T2D
HP1504101T2D_B20	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630497/ERR1630497.fastq.gz	HP1504101T2D
HP1504101T2D_B21	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630498/ERR1630498.fastq.gz	HP1504101T2D
HP1504101T2D_B22	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630499/ERR1630499.fastq.gz	HP1504101T2D
HP1504101T2D_B23	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630500/ERR1630500.fastq.gz	HP1504101T2D
HP1504101T2D_B24	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630501/ERR1630501.fastq.gz	HP1504101T2D
HP1504101T2D_B3	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630502/ERR1630502.fastq.gz	HP1504101T2D
HP1504101T2D_B4	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630503/ERR1630503.fastq.gz	HP1504101T2D
HP1504101T2D_B5	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630504/ERR1630504.fastq.gz	HP1504101T2D
HP1504101T2D_B6	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630505/ERR1630505.fastq.gz	HP1504101T2D
HP1504101T2D_B7	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630506/ERR1630506.fastq.gz	HP1504101T2D
HP1504101T2D_B8	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630507/ERR1630507.fastq.gz	HP1504101T2D
HP1504101T2D_B9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630508/ERR1630508.fastq.gz	HP1504101T2D
HP1504101T2D_C1	OK	endothelial cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630509/ERR1630509.fastq.gz	HP1504101T2D
HP1504101T2D_C10	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630510/ERR1630510.fastq.gz	HP1504101T2D
HP1504101T2D_C11	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630511/ERR1630511.fastq.gz	HP1504101T2D
HP1504101T2D_C12	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630512/ERR1630512.fastq.gz	HP1504101T2D
HP1504101T2D_C13	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630513/ERR1630513.fastq.gz	HP1504101T2D
HP1504101T2D_C14	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630514/ERR1630514.fastq.gz	HP1504101T2D
HP1504101T2D_C15	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630515/ERR1630515.fastq.gz	HP1504101T2D
HP1504101T2D_C16	OK	co-expression cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630516/ERR1630516.fastq.gz	HP1504101T2D
HP1504101T2D_C17	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630517/ERR1630517.fastq.gz	HP1504101T2D
HP1504101T2D_C18	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630518/ERR1630518.fastq.gz	HP1504101T2D
HP1504101T2D_C19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630519/ERR1630519.fastq.gz	HP1504101T2D
HP1504101T2D_C2	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630520/ERR1630520.fastq.gz	HP1504101T2D
HP1504101T2D_C20	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630521/ERR1630521.fastq.gz	HP1504101T2D
HP1504101T2D_C21	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630522/ERR1630522.fastq.gz	HP1504101T2D
HP1504101T2D_C22	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630523/ERR1630523.fastq.gz	HP1504101T2D
HP1504101T2D_C23	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630524/ERR1630524.fastq.gz	HP1504101T2D
HP1504101T2D_C24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630525/ERR1630525.fastq.gz	HP1504101T2D
HP1504101T2D_C3	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630526/ERR1630526.fastq.gz	HP1504101T2D
HP1504101T2D_C4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630527/ERR1630527.fastq.gz	HP1504101T2D
HP1504101T2D_C5	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630528/ERR1630528.fastq.gz	HP1504101T2D
HP1504101T2D_C6	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630529/ERR1630529.fastq.gz	HP1504101T2D
HP1504101T2D_C7	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630530/ERR1630530.fastq.gz	HP1504101T2D
HP1504101T2D_C8	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630531/ERR1630531.fastq.gz	HP1504101T2D
HP1504101T2D_C9	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630532/ERR1630532.fastq.gz	HP1504101T2D
HP1504101T2D_D1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630533/ERR1630533.fastq.gz	HP1504101T2D
HP1504101T2D_D10	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630534/ERR1630534.fastq.gz	HP1504101T2D
HP1504101T2D_D11	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630535/ERR1630535.fastq.gz	HP1504101T2D
HP1504101T2D_D12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630536/ERR1630536.fastq.gz	HP1504101T2D
HP1504101T2D_D13	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630537/ERR1630537.fastq.gz	HP1504101T2D
HP1504101T2D_D14	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630538/ERR1630538.fastq.gz	HP1504101T2D
HP1504101T2D_D15	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630539/ERR1630539.fastq.gz	HP1504101T2D
HP1504101T2D_D16	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630540/ERR1630540.fastq.gz	HP1504101T2D
HP1504101T2D_D17	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630541/ERR1630541.fastq.gz	HP1504101T2D
HP1504101T2D_D18	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630542/ERR1630542.fastq.gz	HP1504101T2D
HP1504101T2D_D19	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630543/ERR1630543.fastq.gz	HP1504101T2D
HP1504101T2D_D2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630544/ERR1630544.fastq.gz	HP1504101T2D
HP1504101T2D_D20	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630545/ERR1630545.fastq.gz	HP1504101T2D
HP1504101T2D_D21	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630546/ERR1630546.fastq.gz	HP1504101T2D
HP1504101T2D_D22	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630547/ERR1630547.fastq.gz	HP1504101T2D
HP1504101T2D_D23	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630548/ERR1630548.fastq.gz	HP1504101T2D
HP1504101T2D_D24	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630549/ERR1630549.fastq.gz	HP1504101T2D
HP1504101T2D_D3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630550/ERR1630550.fastq.gz	HP1504101T2D
HP1504101T2D_D4	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630551/ERR1630551.fastq.gz	HP1504101T2D
HP1504101T2D_D5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630552/ERR1630552.fastq.gz	HP1504101T2D
HP1504101T2D_D6	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630553/ERR1630553.fastq.gz	HP1504101T2D
HP1504101T2D_D7	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630554/ERR1630554.fastq.gz	HP1504101T2D
HP1504101T2D_D8	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630555/ERR1630555.fastq.gz	HP1504101T2D
HP1504101T2D_D9	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630556/ERR1630556.fastq.gz	HP1504101T2D
HP1504101T2D_E1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630557/ERR1630557.fastq.gz	HP1504101T2D
HP1504101T2D_E10	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630558/ERR1630558.fastq.gz	HP1504101T2D
HP1504101T2D_E11	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630559/ERR1630559.fastq.gz	HP1504101T2D
HP1504101T2D_E12	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630560/ERR1630560.fastq.gz	HP1504101T2D
HP1504101T2D_E13	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630561/ERR1630561.fastq.gz	HP1504101T2D
HP1504101T2D_E14	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630562/ERR1630562.fastq.gz	HP1504101T2D
HP1504101T2D_E15	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630563/ERR1630563.fastq.gz	HP1504101T2D
HP1504101T2D_E16	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630564/ERR1630564.fastq.gz	HP1504101T2D
HP1504101T2D_E17	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630565/ERR1630565.fastq.gz	HP1504101T2D
HP1504101T2D_E18	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630566/ERR1630566.fastq.gz	HP1504101T2D
HP1504101T2D_E19	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630567/ERR1630567.fastq.gz	HP1504101T2D
HP1504101T2D_E2	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630568/ERR1630568.fastq.gz	HP1504101T2D
HP1504101T2D_E20	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630569/ERR1630569.fastq.gz	HP1504101T2D
HP1504101T2D_E21	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630570/ERR1630570.fastq.gz	HP1504101T2D
HP1504101T2D_E22	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630571/ERR1630571.fastq.gz	HP1504101T2D
HP1504101T2D_E23	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630572/ERR1630572.fastq.gz	HP1504101T2D
HP1504101T2D_E24	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630573/ERR1630573.fastq.gz	HP1504101T2D
HP1504101T2D_E3	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630574/ERR1630574.fastq.gz	HP1504101T2D
HP1504101T2D_E4	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630575/ERR1630575.fastq.gz	HP1504101T2D
HP1504101T2D_E5	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630576/ERR1630576.fastq.gz	HP1504101T2D
HP1504101T2D_E6	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630577/ERR1630577.fastq.gz	HP1504101T2D
HP1504101T2D_E7	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630578/ERR1630578.fastq.gz	HP1504101T2D
HP1504101T2D_E8	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630579/ERR1630579.fastq.gz	HP1504101T2D
HP1504101T2D_E9	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630580/ERR1630580.fastq.gz	HP1504101T2D
HP1504101T2D_F1	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630581/ERR1630581.fastq.gz	HP1504101T2D
HP1504101T2D_F10	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630582/ERR1630582.fastq.gz	HP1504101T2D
HP1504101T2D_F11	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630583/ERR1630583.fastq.gz	HP1504101T2D
HP1504101T2D_F12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630584/ERR1630584.fastq.gz	HP1504101T2D
HP1504101T2D_F13	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630585/ERR1630585.fastq.gz	HP1504101T2D
HP1504101T2D_F14	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630586/ERR1630586.fastq.gz	HP1504101T2D
HP1504101T2D_F15	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630587/ERR1630587.fastq.gz	HP1504101T2D
HP1504101T2D_F16	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630588/ERR1630588.fastq.gz	HP1504101T2D
HP1504101T2D_F17	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630589/ERR1630589.fastq.gz	HP1504101T2D
HP1504101T2D_F18	OK	PSC cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630590/ERR1630590.fastq.gz	HP1504101T2D
HP1504101T2D_F19	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630591/ERR1630591.fastq.gz	HP1504101T2D
HP1504101T2D_F2	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630592/ERR1630592.fastq.gz	HP1504101T2D
HP1504101T2D_F20	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630593/ERR1630593.fastq.gz	HP1504101T2D
HP1504101T2D_F21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630594/ERR1630594.fastq.gz	HP1504101T2D
HP1504101T2D_F22	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630595/ERR1630595.fastq.gz	HP1504101T2D
HP1504101T2D_F23	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630596/ERR1630596.fastq.gz	HP1504101T2D
HP1504101T2D_F24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630597/ERR1630597.fastq.gz	HP1504101T2D
HP1504101T2D_F3	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630598/ERR1630598.fastq.gz	HP1504101T2D
HP1504101T2D_F4	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630599/ERR1630599.fastq.gz	HP1504101T2D
HP1504101T2D_F5	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630600/ERR1630600.fastq.gz	HP1504101T2D
HP1504101T2D_F6	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630601/ERR1630601.fastq.gz	HP1504101T2D
HP1504101T2D_F7	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630602/ERR1630602.fastq.gz	HP1504101T2D
HP1504101T2D_F8	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630603/ERR1630603.fastq.gz	HP1504101T2D
HP1504101T2D_F9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630604/ERR1630604.fastq.gz	HP1504101T2D
HP1504101T2D_G1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630605/ERR1630605.fastq.gz	HP1504101T2D
HP1504101T2D_G10	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630606/ERR1630606.fastq.gz	HP1504101T2D
HP1504101T2D_G11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630607/ERR1630607.fastq.gz	HP1504101T2D
