Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,GEO_Accession (exp),Genotype,treatment,stain,AssemblyName,strain,agent,tissue,time_point
SRR5102499,RNA-Seq,76,32128164,PRJNA357261,SAMN06136000,12180408,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418659,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426379,WT Mouse intestinal epithelial cells,SRP095033,GSM2426379,Wild type,None,C57BL/6,,,,,
SRR5102500,RNA-Seq,76,24963872,PRJNA357261,SAMN06135999,9556844,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418660,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426380,WT Mouse intestinal epithelial cells,SRP095033,GSM2426380,Wild type,None,C57BL/6,,,,,
SRR5102501,RNA-Seq,76,29893688,PRJNA357261,SAMN06135997,11372337,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418661,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426381,WT Mouse intestinal epithelial cells,SRP095033,GSM2426381,Wild type,None,C57BL/6,,,,,
SRR5102502,RNA-Seq,76,34849724,PRJNA357261,SAMN06135995,13262912,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418662,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426382,WT Mouse intestinal epithelial cells,SRP095033,GSM2426382,Wild type,None,C57BL/6,,,,,
SRR5102503,RNA-Seq,76,22977916,PRJNA357261,SAMN06135993,8789616,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418663,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426383,WT Mouse intestinal epithelial cells,SRP095033,GSM2426383,Wild type,None,C57BL/6,,,,,
SRR5102504,RNA-Seq,76,24067452,PRJNA357261,SAMN06135991,9144277,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418664,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426384,WT Mouse intestinal epithelial cells,SRP095033,GSM2426384,Wild type,None,C57BL/6,,,,,
SRR5102505,RNA-Seq,76,27172660,PRJNA357261,SAMN06135988,10303001,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418665,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426385,WT Mouse intestinal epithelial cells,SRP095033,GSM2426385,Wild type,None,C57BL/6,,,,,
SRR5102506,RNA-Seq,70,42872200,PRJNA357261,SAMN06135986,19523602,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418666,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426386,WT Mouse intestinal epithelial cells,SRP095033,GSM2426386,Wild type,None,C57BL/6,,,,,
SRR5102507,RNA-Seq,76,26392748,PRJNA357261,SAMN06135985,10027631,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418667,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426387,WT Mouse intestinal epithelial cells,SRP095033,GSM2426387,Wild type,None,C57BL/6,,,,,
SRR5102508,RNA-Seq,76,15816588,PRJNA357261,SAMN06135983,6076414,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418668,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426388,WT Mouse intestinal epithelial cells,SRP095033,GSM2426388,Wild type,None,C57BL/6,,,,,
SRR5102509,RNA-Seq,76,27640440,PRJNA357261,SAMN06135981,10572335,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418669,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426389,WT Mouse intestinal epithelial cells,SRP095033,GSM2426389,Wild type,None,C57BL/6,,,,,
SRR5102510,RNA-Seq,76,23931108,PRJNA357261,SAMN06135977,9222381,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418670,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426390,WT Mouse intestinal epithelial cells,SRP095033,GSM2426390,Wild type,None,C57BL/6,,,,,
SRR5102511,RNA-Seq,76,19223668,PRJNA357261,SAMN06135975,7332723,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418671,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426391,WT Mouse intestinal epithelial cells,SRP095033,GSM2426391,Wild type,None,C57BL/6,,,,,
SRR5102512,RNA-Seq,76,24071632,PRJNA357261,SAMN06135973,9265103,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418672,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426392,WT Mouse intestinal epithelial cells,SRP095033,GSM2426392,Wild type,None,C57BL/6,,,,,
SRR5102513,RNA-Seq,76,19586112,PRJNA357261,SAMN06135971,7561254,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418673,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426393,WT Mouse intestinal epithelial cells,SRP095033,GSM2426393,Wild type,None,C57BL/6,,,,,
SRR5102514,RNA-Seq,76,19127680,PRJNA357261,SAMN06135969,7335883,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418674,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426394,WT Mouse intestinal epithelial cells,SRP095033,GSM2426394,Wild type,None,C57BL/6,,,,,
SRR5102515,RNA-Seq,76,25976648,PRJNA357261,SAMN06135967,9956655,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418675,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426395,WT Mouse intestinal epithelial cells,SRP095033,GSM2426395,Wild type,None,C57BL/6,,,,,
SRR5102516,RNA-Seq,76,33013032,PRJNA357261,SAMN06135966,12493696,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418676,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426396,WT Mouse intestinal epithelial cells,SRP095033,GSM2426396,Wild type,None,C57BL/6,,,,,
SRR5102517,RNA-Seq,70,24574620,PRJNA357261,SAMN06135963,11275757,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418677,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426397,WT Mouse intestinal epithelial cells,SRP095033,GSM2426397,Wild type,None,C57BL/6,,,,,
SRR5102518,RNA-Seq,76,20830080,PRJNA357261,SAMN06135961,7959439,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418678,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426398,WT Mouse intestinal epithelial cells,SRP095033,GSM2426398,Wild type,None,C57BL/6,,,,,
SRR5102519,RNA-Seq,76,30329928,PRJNA357261,SAMN06135959,11502326,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418679,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426399,WT Mouse intestinal epithelial cells,SRP095033,GSM2426399,Wild type,None,C57BL/6,,,,,
SRR5102520,RNA-Seq,76,12564852,PRJNA357261,SAMN06135957,4864678,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418680,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426400,WT Mouse intestinal epithelial cells,SRP095033,GSM2426400,Wild type,None,C57BL/6,,,,,
SRR5102521,RNA-Seq,76,23759120,PRJNA357261,SAMN06135955,9158722,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418681,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426401,WT Mouse intestinal epithelial cells,SRP095033,GSM2426401,Wild type,None,C57BL/6,,,,,
SRR5102522,RNA-Seq,76,17408560,PRJNA357261,SAMN06135952,6797482,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418682,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426402,WT Mouse intestinal epithelial cells,SRP095033,GSM2426402,Wild type,None,C57BL/6,,,,,
SRR5102523,RNA-Seq,76,19082080,PRJNA357261,SAMN06135950,7386786,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418683,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426403,WT Mouse intestinal epithelial cells,SRP095033,GSM2426403,Wild type,None,C57BL/6,,,,,
SRR5102524,RNA-Seq,76,18556996,PRJNA357261,SAMN06135948,7204054,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418684,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426404,WT Mouse intestinal epithelial cells,SRP095033,GSM2426404,Wild type,None,C57BL/6,,,,,
SRR5102525,RNA-Seq,76,12320360,PRJNA357261,SAMN06135945,4735307,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418685,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426405,WT Mouse intestinal epithelial cells,SRP095033,GSM2426405,Wild type,None,C57BL/6,,,,,
SRR5102526,RNA-Seq,76,24775544,PRJNA357261,SAMN06135942,9615234,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418686,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426406,WT Mouse intestinal epithelial cells,SRP095033,GSM2426406,Wild type,None,C57BL/6,,,,,
SRR5102527,RNA-Seq,76,19988380,PRJNA357261,SAMN06135940,7747467,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418687,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426407,WT Mouse intestinal epithelial cells,SRP095033,GSM2426407,Wild type,None,C57BL/6,,,,,
SRR5102528,RNA-Seq,70,35206080,PRJNA357261,SAMN06136076,15866016,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418688,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426408,WT Mouse intestinal epithelial cells,SRP095033,GSM2426408,Wild type,None,C57BL/6,,,,,
SRR5102529,RNA-Seq,76,27688776,PRJNA357261,SAMN06136073,10642799,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418689,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426409,WT Mouse intestinal epithelial cells,SRP095033,GSM2426409,Wild type,None,C57BL/6,,,,,
SRR5102530,RNA-Seq,76,32652640,PRJNA357261,SAMN06136070,12541795,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418690,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426410,WT Mouse intestinal epithelial cells,SRP095033,GSM2426410,Wild type,None,C57BL/6,,,,,
SRR5102531,RNA-Seq,76,17861900,PRJNA357261,SAMN06136067,7097179,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418691,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426411,WT Mouse intestinal epithelial cells,SRP095033,GSM2426411,Wild type,None,C57BL/6,,,,,
SRR5102532,RNA-Seq,76,45576364,PRJNA357261,SAMN06136064,17470134,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418692,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426412,WT Mouse intestinal epithelial cells,SRP095033,GSM2426412,Wild type,None,C57BL/6,,,,,
SRR5102533,RNA-Seq,76,34486748,PRJNA357261,SAMN06136060,13257914,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418693,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426413,WT Mouse intestinal epithelial cells,SRP095033,GSM2426413,Wild type,None,C57BL/6,,,,,
SRR5102534,RNA-Seq,76,39437768,PRJNA357261,SAMN06136058,15094763,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418694,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426414,WT Mouse intestinal epithelial cells,SRP095033,GSM2426414,Wild type,None,C57BL/6,,,,,
SRR5102535,RNA-Seq,76,118764136,PRJNA357261,SAMN06136055,46216798,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418695,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426415,WT Mouse intestinal epithelial cells,SRP095033,GSM2426415,Wild type,None,C57BL/6,,,,,
SRR5102536,RNA-Seq,76,100777748,PRJNA357261,SAMN06136053,39476418,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418696,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426416,WT Mouse intestinal epithelial cells,SRP095033,GSM2426416,Wild type,None,C57BL/6,,,,,
SRR5102537,RNA-Seq,76,188055540,PRJNA357261,SAMN06136050,73784613,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418697,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426417,WT Mouse intestinal epithelial cells,SRP095033,GSM2426417,Wild type,None,C57BL/6,,,,,
SRR5102538,RNA-Seq,76,135042804,PRJNA357261,SAMN06136047,52981656,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418698,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426418,WT Mouse intestinal epithelial cells,SRP095033,GSM2426418,Wild type,None,C57BL/6,,,,,
SRR5102539,RNA-Seq,70,33377470,PRJNA357261,SAMN06136045,15060891,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418699,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426419,WT Mouse intestinal epithelial cells,SRP095033,GSM2426419,Wild type,None,C57BL/6,,,,,
SRR5102540,RNA-Seq,76,233200224,PRJNA357261,SAMN06136042,91128866,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418700,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426420,WT Mouse intestinal epithelial cells,SRP095033,GSM2426420,Wild type,None,C57BL/6,,,,,
SRR5102541,RNA-Seq,76,214557424,PRJNA357261,SAMN06136040,84022212,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418701,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426421,WT Mouse intestinal epithelial cells,SRP095033,GSM2426421,Wild type,None,C57BL/6,,,,,
SRR5102542,RNA-Seq,76,118423960,PRJNA357261,SAMN06136037,46867797,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418702,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426422,WT Mouse intestinal epithelial cells,SRP095033,GSM2426422,Wild type,None,C57BL/6,,,,,
SRR5102543,RNA-Seq,76,202296040,PRJNA357261,SAMN06136035,79172439,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418703,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426423,WT Mouse intestinal epithelial cells,SRP095033,GSM2426423,Wild type,None,C57BL/6,,,,,
SRR5102544,RNA-Seq,76,131697512,PRJNA357261,SAMN06136033,51695117,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418704,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426424,WT Mouse intestinal epithelial cells,SRP095033,GSM2426424,Wild type,None,C57BL/6,,,,,
SRR5102545,RNA-Seq,76,119924960,PRJNA357261,SAMN06136030,47520296,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418705,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426425,WT Mouse intestinal epithelial cells,SRP095033,GSM2426425,Wild type,None,C57BL/6,,,,,
SRR5102546,RNA-Seq,76,100927924,PRJNA357261,SAMN06136026,40060952,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418706,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426426,WT Mouse intestinal epithelial cells,SRP095033,GSM2426426,Wild type,None,C57BL/6,,,,,
SRR5102547,RNA-Seq,76,101528476,PRJNA357261,SAMN06136023,40479739,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418707,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426427,WT Mouse intestinal epithelial cells,SRP095033,GSM2426427,Wild type,None,C57BL/6,,,,,
SRR5102548,RNA-Seq,76,35472696,PRJNA357261,SAMN06136020,14527138,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418708,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426428,WT Mouse intestinal epithelial cells,SRP095033,GSM2426428,Wild type,None,C57BL/6,,,,,
SRR5102549,RNA-Seq,76,51765804,PRJNA357261,SAMN06136018,20729044,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418709,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426429,WT Mouse intestinal epithelial cells,SRP095033,GSM2426429,Wild type,None,C57BL/6,,,,,
SRR5102550,RNA-Seq,70,40924660,PRJNA357261,SAMN06136016,18647629,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418710,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426430,WT Mouse intestinal epithelial cells,SRP095033,GSM2426430,Wild type,None,C57BL/6,,,,,
SRR5102551,RNA-Seq,76,180809016,PRJNA357261,SAMN06136015,70614808,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418711,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426431,WT Mouse intestinal epithelial cells,SRP095033,GSM2426431,Wild type,None,C57BL/6,,,,,
SRR5102552,RNA-Seq,76,65751476,PRJNA357261,SAMN06136013,26299347,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418712,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426432,WT Mouse intestinal epithelial cells,SRP095033,GSM2426432,Wild type,None,C57BL/6,,,,,
SRR5102553,RNA-Seq,76,125134304,PRJNA357261,SAMN06136011,49597245,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418713,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426433,WT Mouse intestinal epithelial cells,SRP095033,GSM2426433,Wild type,None,C57BL/6,,,,,
SRR5102554,RNA-Seq,76,123962840,PRJNA357261,SAMN06136009,49221605,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418714,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426434,WT Mouse intestinal epithelial cells,SRP095033,GSM2426434,Wild type,None,C57BL/6,,,,,
SRR5102555,RNA-Seq,76,169188084,PRJNA357261,SAMN06136007,67161250,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418715,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426435,WT Mouse intestinal epithelial cells,SRP095033,GSM2426435,Wild type,None,C57BL/6,,,,,
SRR5102556,RNA-Seq,76,129898744,PRJNA357261,SAMN06136006,51482257,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418716,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426436,WT Mouse intestinal epithelial cells,SRP095033,GSM2426436,Wild type,None,C57BL/6,,,,,
SRR5102557,RNA-Seq,76,175976936,PRJNA357261,SAMN06136004,69671700,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418717,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426437,WT Mouse intestinal epithelial cells,SRP095033,GSM2426437,Wild type,None,C57BL/6,,,,,
SRR5102558,RNA-Seq,76,47060644,PRJNA357261,SAMN06136140,18538808,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418718,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426438,WT Mouse intestinal epithelial cells,SRP095033,GSM2426438,Wild type,None,C57BL/6,,,,,
SRR5102559,RNA-Seq,76,122820560,PRJNA357261,SAMN06136138,48325988,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418719,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426439,WT Mouse intestinal epithelial cells,SRP095033,GSM2426439,Wild type,None,C57BL/6,,,,,
SRR5102560,RNA-Seq,76,190726484,PRJNA357261,SAMN06136132,74887156,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418720,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426440,WT Mouse intestinal epithelial cells,SRP095033,GSM2426440,Wild type,None,C57BL/6,,,,,
SRR5102561,RNA-Seq,70,46453680,PRJNA357261,SAMN06136130,20932762,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418721,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426441,WT Mouse intestinal epithelial cells,SRP095033,GSM2426441,Wild type,None,C57BL/6,,,,,
SRR5102562,RNA-Seq,70,8548750,PRJNA357261,SAMN06136128,3934084,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418722,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426442,WT Mouse intestinal epithelial cells,SRP095033,GSM2426442,Wild type,None,C57BL/6,,,,,
SRR5102563,RNA-Seq,76,171936244,PRJNA357261,SAMN06136126,67787234,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418723,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426443,WT Mouse intestinal epithelial cells,SRP095033,GSM2426443,Wild type,None,C57BL/6,,,,,
SRR5102564,RNA-Seq,76,191640536,PRJNA357261,SAMN06136123,75100750,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418724,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2426444,WT Mouse intestinal epithelial cells,SRP095033,GSM2426444,Wild type,None,C57BL/6,,,,,
