Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR8315763,RNA-Seq,124,18920338252,PRJNA509910,SAMN10589689,8089754741,CD45+ CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su008,SRX5128508,GSM3511765,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511765,Basal cell carinoma tumor,SRP173389,pre
SRR8315764,RNA-Seq,124,20782881120,PRJNA509910,SAMN10589688,8949941267,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su008,SRX5128509,GSM3511766,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511766,Basal cell carinoma tumor,SRP173389,pre
SRR8315765,RNA-Seq,124,27363185400,PRJNA509910,SAMN10589687,11819489390,CD45- CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su008,SRX5128510,GSM3511767,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511767,Basal cell carinoma tumor,SRP173389,pre
SRR8315766,RNA-Seq,124,14599883132,PRJNA509910,SAMN10589686,6422783703,CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su008,SRX5128511,GSM3511768,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511768,Basal cell carinoma tumor,SRP173389,post
SRR8315767,OTHER,300,1768626000,PRJNA509910,SAMN10589685,812698179,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su001,SRX5128512,GSM3511769,Illumina MiSeq,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511769,Basal cell carinoma tumor,SRP173389,pre
SRR8315768,OTHER,302,1302937626,PRJNA509910,SAMN10589684,567276942,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su001,SRX5128513,GSM3511770,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511770,Basal cell carinoma tumor,SRP173389,pre
SRR8315769,OTHER,302,13332107402,PRJNA509910,SAMN10589683,5428869497,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su001,SRX5128514,GSM3511771,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511771,Basal cell carinoma tumor,SRP173389,post
SRR8315770,OTHER,302,941965784,PRJNA509910,SAMN10589682,382690908,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su002,SRX5128515,GSM3511772,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511772,Basal cell carinoma tumor,SRP173389,pre
SRR8315771,OTHER,302,1491832586,PRJNA509910,SAMN10589681,607705604,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su002,SRX5128516,GSM3511773,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511773,Basal cell carinoma tumor,SRP173389,post
SRR8315772,OTHER,302,2397537230,PRJNA509910,SAMN10589680,1050888298,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su003,SRX5128517,GSM3511774,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511774,Basal cell carinoma tumor,SRP173389,pre
SRR8315773,OTHER,300,5947310100,PRJNA509910,SAMN10589679,3461272192,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su003,SRX5128518,GSM3511775,Illumina MiSeq,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511775,Basal cell carinoma tumor,SRP173389,post
SRR8315774,OTHER,302,3631882502,PRJNA509910,SAMN10589678,1476771098,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su004,SRX5128519,GSM3511776,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511776,Basal cell carinoma tumor,SRP173389,pre
SRR8315775,OTHER,302,2327810564,PRJNA509910,SAMN10589677,945497793,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su004,SRX5128520,GSM3511777,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511777,Basal cell carinoma tumor,SRP173389,post
SRR8315776,OTHER,302,5405309250,PRJNA509910,SAMN10589727,2212220132,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su005,SRX5128521,GSM3511778,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511778,Basal cell carinoma tumor,SRP173389,pre
SRR8315777,OTHER,302,15508562512,PRJNA509910,SAMN10589726,6242710031,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su005,SRX5128522,GSM3511779,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511779,Basal cell carinoma tumor,SRP173389,post
SRR8315778,OTHER,300,3366811200,PRJNA509910,SAMN10589725,1541469507,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su006,SRX5128523,GSM3511780,Illumina MiSeq,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511780,Basal cell carinoma tumor,SRP173389,pre
SRR8315779,OTHER,300,3769700100,PRJNA509910,SAMN10589724,1735743572,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su006,SRX5128524,GSM3511781,Illumina MiSeq,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511781,Basal cell carinoma tumor,SRP173389,post
SRR8315780,OTHER,302,21578082106,PRJNA509910,SAMN10589723,9181470339,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su007,SRX5128525,GSM3511782,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511782,Basal cell carinoma tumor,SRP173389,pre
SRR8315781,OTHER,302,1772412028,PRJNA509910,SAMN10589722,765270388,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su007,SRX5128526,GSM3511783,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511783,Basal cell carinoma tumor,SRP173389,post
SRR8315782,OTHER,300,3592356600,PRJNA509910,SAMN10589721,1766931597,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su008,SRX5128527,GSM3511784,Illumina MiSeq,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511784,Basal cell carinoma tumor,SRP173389,pre
SRR8315783,OTHER,302,25895849492,PRJNA509910,SAMN10589701,11160017163,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su008,SRX5128528,GSM3511785,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511785,Basal cell carinoma tumor,SRP173389,post
SRR8890805,RNA-Seq,302,22082565556,PRJNA509910,SAMN11407824,9471990215,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676474,GSM3721471,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721471,Squamous cell carcinoma tumor,SRP173389,pre
