patient	sample	celltype	plate	well
MGH44	MGH44-P13-E01	Tumor	P13	E01
MGH44	MGH44-P13-E02	Tumor	P13	E02
MGH44	MGH44-P13-E03	Tumor	P13	E03
MGH44	MGH44-P13-E04	Tumor	P13	E04
MGH44	MGH44-P13-E05	Tumor	P13	E05
MGH44	MGH44-P13-E06	Tumor	P13	E06
MGH44	MGH44-P13-E07	Tumor	P13	E07
MGH44	MGH44-P13-E08	Tumor	P13	E08
MGH44	MGH44-P13-E09	Tumor	P13	E09
MGH44	MGH44-P13-E10	Tumor	P13	E10
MGH44	MGH44-P13-F01	Tumor	P13	F01
MGH44	MGH44-P13-F02	Tumor	P13	F02
MGH44	MGH44-P13-F03	Tumor	P13	F03
MGH44	MGH44-P13-F04	Tumor	P13	F04
MGH44	MGH44-P13-F05	Tumor	P13	F05
MGH44	MGH44-P13-F06	Tumor	P13	F06
MGH44	MGH44-P13-F07	Tumor	P13	F07
MGH44	MGH44-P13-F08	Tumor	P13	F08
MGH44	MGH44-P13-F09	Tumor	P13	F09
MGH44	MGH44-P13-F10	Tumor	P13	F10
MGH44	MGH44-P13-F11	Tumor	P13	F11
MGH44	MGH44-P13-F12	Tumor	P13	F12
MGH44	MGH44-P13-G01	Tumor	P13	G01
MGH44	MGH44-P13-G02	Tumor	P13	G02
MGH44	MGH44-P13-G03	Tumor	P13	G03
MGH44	MGH44-P13-G04	Tumor	P13	G04
MGH44	MGH44-P13-G05	Tumor	P13	G05
MGH44	MGH44-P13-G06	Tumor	P13	G06
MGH44	MGH44-P13-G07	Tumor	P13	G07
MGH44	MGH44-P13-G08	Tumor	P13	G08
MGH44	MGH44-P13-G09	Tumor	P13	G09
MGH44	MGH44-P13-G10	Tumor	P13	G10
MGH44	MGH44-P13-G11	Tumor	P13	G11
MGH44	MGH44-P13-G12	Tumor	P13	G12
MGH44	MGH44-P13-H01	Tumor	P13	H01
MGH44	MGH44-P13-H02	Tumor	P13	H02
MGH44	MGH44-P13-H03	Tumor	P13	H03
MGH44	MGH44-P13-H04	Tumor	P13	H04
MGH44	MGH44-P13-H05	Tumor	P13	H05
MGH44	MGH44-P13-H06	Tumor	P13	H06
MGH44	MGH44-P13-H07	Tumor	P13	H07
MGH44	MGH44-P13-H08	Tumor	P13	H08
MGH44	MGH44-P13-H10	Tumor	P13	H10
MGH44	MGH44-P13-H11	Tumor	P13	H11
MGH44	MGH44-P13-H12	Tumor	P13	H12
MGH44	MGH44-P4-A01	Tumor	P4	A01
MGH44	MGH44-P4-A02	Tumor	P4	A02
MGH44	MGH44-P4-A03	Tumor	P4	A03
MGH44	MGH44-P4-A04	Tumor	P4	A04
MGH44	MGH44-P4-A05	Tumor	P4	A05
MGH44	MGH44-P4-A06	Tumor	P4	A06
MGH44	MGH44-P4-A08	Tumor	P4	A08
MGH44	MGH44-P4-A09	Tumor	P4	A09
MGH44	MGH44-P4-A10	Tumor	P4	A10
MGH44	MGH44-P4-A11	Tumor	P4	A11
MGH44	MGH44-P4-A12	Tumor	P4	A12
MGH44	MGH44-P4-B01	Tumor	P4	B01
MGH44	MGH44-P4-B03	Tumor	P4	B03
MGH44	MGH44-P4-B06	Tumor	P4	B06
MGH44	MGH44-P4-B07	Tumor	P4	B07
MGH44	MGH44-P4-B09	Tumor	P4	B09
MGH44	MGH44-P4-B10	Tumor	P4	B10
MGH44	MGH44-P4-B11	Tumor	P4	B11
MGH44	MGH44-P4-C02	Tumor	P4	C02
MGH44	MGH44-P4-C04	Tumor	P4	C04
MGH44	MGH44-P4-C06	Tumor	P4	C06
MGH44	MGH44-P4-C07	Tumor	P4	C07
MGH44	MGH44-P4-C09	Tumor	P4	C09
MGH44	MGH44-P4-C10	Tumor	P4	C10
MGH44	MGH44-P4-D01	Tumor	P4	D01
MGH44	MGH44-P4-D02	Tumor	P4	D02
MGH44	MGH44-P4-D03	Tumor	P4	D03
MGH44	MGH44-P4-D04	Tumor	P4	D04
MGH44	MGH44-P4-D07	Tumor	P4	D07
MGH44	MGH44-P4-D10	Tumor	P4	D10
MGH44	MGH44-P4-D11	Tumor	P4	D11
MGH44	MGH44-P4-D12	Tumor	P4	D12
MGH44	MGH44-P4-E01	Tumor	P4	E01
MGH44	MGH44-P4-E02	Tumor	P4	E02
MGH44	MGH44-P4-E03	Tumor	P4	E03
MGH44	MGH44-P4-E04	Tumor	P4	E04
MGH44	MGH44-P4-E05	Tumor	P4	E05
MGH44	MGH44-P4-E08	Tumor	P4	E08
MGH44	MGH44-P4-E10	Tumor	P4	E10
MGH44	MGH44-P4-E11	Tumor	P4	E11
MGH44	MGH44-P4-E12	Tumor	P4	E12
MGH44	MGH44-P4-F01	Tumor	P4	F01
MGH44	MGH44-P4-F02	Tumor	P4	F02
MGH44	MGH44-P4-F04	Tumor	P4	F04
MGH44	MGH44-P4-F05	Tumor	P4	F05
MGH44	MGH44-P4-F06	Tumor	P4	F06
MGH44	MGH44-P4-F07	Tumor	P4	F07
MGH44	MGH44-P4-F08	Tumor	P4	F08
MGH44	MGH44-P4-F10	Tumor	P4	F10
MGH44	MGH44-P4-F12	Tumor	P4	F12
MGH44	MGH44-P4-G03	Tumor	P4	G03
MGH44	MGH44-P4-G04	Tumor	P4	G04
MGH44	MGH44-P4-G05	Tumor	P4	G05
MGH44	MGH44-P4-G06	Tumor	P4	G06
MGH44	MGH44-P4-G11	Tumor	P4	G11
MGH44	MGH44-P4-G12	Tumor	P4	G12
MGH44	MGH44-P4-H01	Tumor	P4	H01
MGH44	MGH44-P4-H02	Tumor	P4	H02
MGH44	MGH44-P4-H04	Tumor	P4	H04
MGH44	MGH44-P4-H05	Tumor	P4	H05
MGH44	MGH44-P4-H06	Tumor	P4	H06
MGH44	MGH44-P4-H07	Tumor	P4	H07
MGH44	MGH44-P4-H08	Tumor	P4	H08
MGH44	MGH44-P4-H09	Tumor	P4	H09
MGH44	MGH44-P4-H10	Tumor	P4	H10
MGH44	MGH44-P5-A01	Tumor	P5	A01
MGH44	MGH44-P5-A02	Tumor	P5	A02
MGH44	MGH44-P5-A03	Tumor	P5	A03
MGH44	MGH44-P5-A04	Tumor	P5	A04
MGH44	MGH44-P5-A05	Tumor	P5	A05
MGH44	MGH44-P5-A08	Tumor	P5	A08
MGH44	MGH44-P5-A10	Tumor	P5	A10
MGH44	MGH44-P5-A12	Tumor	P5	A12
MGH44	MGH44-P5-B02	Tumor	P5	B02
MGH44	MGH44-P5-B03	Tumor	P5	B03
MGH44	MGH44-P5-B05	Tumor	P5	B05
MGH44	MGH44-P5-B06	Tumor	P5	B06
MGH44	MGH44-P5-B07	Tumor	P5	B07
MGH44	MGH44-P5-B08	Tumor	P5	B08
MGH44	MGH44-P5-B09	Tumor	P5	B09
MGH44	MGH44-P5-B10	Tumor	P5	B10
MGH44	MGH44-P5-B11	Tumor	P5	B11
MGH44	MGH44-P5-B12	Tumor	P5	B12
MGH44	MGH44-P5-C02	Tumor	P5	C02
MGH44	MGH44-P5-C03	Tumor	P5	C03
MGH44	MGH44-P5-C04	Tumor	P5	C04
MGH44	MGH44-P5-C05	Tumor	P5	C05
MGH44	MGH44-P5-C06	Tumor	P5	C06
MGH44	MGH44-P5-C07	Tumor	P5	C07
MGH44	MGH44-P5-C10	Tumor	P5	C10
MGH44	MGH44-P5-C11	Tumor	P5	C11
MGH44	MGH44-P5-D01	Tumor	P5	D01
MGH44	MGH44-P5-D02	Tumor	P5	D02
MGH44	MGH44-P5-D05	Tumor	P5	D05
MGH44	MGH44-P5-D06	Tumor	P5	D06
MGH44	MGH44-P5-D11	Tumor	P5	D11
MGH44	MGH44-P5-D12	Tumor	P5	D12
MGH44	MGH44-P5-E01	Tumor	P5	E01
MGH44	MGH44-P5-E02	Tumor	P5	E02
MGH44	MGH44-P5-E03	Tumor	P5	E03
MGH44	MGH44-P5-E04	Tumor	P5	E04
MGH44	MGH44-P5-E06	Tumor	P5	E06
MGH44	MGH44-P5-E08	Tumor	P5	E08
MGH44	MGH44-P5-E10	Tumor	P5	E10
MGH44	MGH44-P5-E11	Tumor	P5	E11
MGH44	MGH44-P5-E12	Tumor	P5	E12
MGH44	MGH44-P5-F01	Tumor	P5	F01
MGH44	MGH44-P5-F02	Tumor	P5	F02
MGH44	MGH44-P5-F03	Tumor	P5	F03
MGH44	MGH44-P5-F04	Tumor	P5	F04
MGH44	MGH44-P5-F05	Tumor	P5	F05
MGH44	MGH44-P5-F06	Tumor	P5	F06
MGH44	MGH44-P5-F09	Tumor	P5	F09
MGH44	MGH44-P5-F10	Tumor	P5	F10
MGH44	MGH44-P5-F12	Tumor	P5	F12
MGH44	MGH44-P5-G01	Tumor	P5	G01
MGH44	MGH44-P5-G02	Tumor	P5	G02
MGH44	MGH44-P5-G03	Tumor	P5	G03
MGH44	MGH44-P5-G04	Tumor	P5	G04
MGH44	MGH44-P5-G06	Tumor	P5	G06
MGH44	MGH44-P5-G07	Tumor	P5	G07
MGH44	MGH44-P5-G09	Tumor	P5	G09
MGH44	MGH44-P5-G12	Tumor	P5	G12
MGH44	MGH44-P5-H01	Tumor	P5	H01
MGH44	MGH44-P5-H02	Tumor	P5	H02
MGH44	MGH44-P5-H05	Tumor	P5	H05
MGH44	MGH44-P5-H06	Tumor	P5	H06
MGH44	MGH44-P5-H07	Tumor	P5	H07
MGH44	MGH44-P5-H08	Tumor	P5	H08
MGH44	MGH44-P5-H09	Tumor	P5	H09
MGH44	MGH44-P5-H10	Tumor	P5	H10
MGH44	MGH44-P3-A01	nonTumor	P3	A01
MGH44	MGH44-P3-A08	nonTumor	P3	A08
MGH44	MGH44-P3-A09	nonTumor	P3	A09
MGH44	MGH44-P3-B04	nonTumor	P3	B04
MGH44	MGH44-P3-B05	nonTumor	P3	B05
MGH44	MGH44-P3-B07	nonTumor	P3	B07
MGH44	MGH44-P3-C06	nonTumor	P3	C06
MGH44	MGH44-P3-C09	nonTumor	P3	C09
MGH44	MGH44-P3-C10	nonTumor	P3	C10
MGH44	MGH44-P3-C11	nonTumor	P3	C11
MGH44	MGH44-P3-D05	nonTumor	P3	D05
MGH44	MGH44-P3-D09	nonTumor	P3	D09
MGH44	MGH44-P3-D10	nonTumor	P3	D10
MGH44	MGH44-P3-E02	nonTumor	P3	E02
MGH44	MGH44-P3-E07	nonTumor	P3	E07
MGH44	MGH44-P3-E10	nonTumor	P3	E10
MGH44	MGH44-P3-G04	nonTumor	P3	G04
MGH44	MGH44-P3-H05	nonTumor	P3	H05
MGH44	MGH44-P3-H08	nonTumor	P3	H08
MGH44	MGH44-P3-H09	nonTumor	P3	H09
MGH44	MGH44-P3-H10	nonTumor	P3	H10
MGH44	MGH44-P3-H11	nonTumor	P3	H11
MGH44	MGH44-P4-A07	nonTumor	P4	A07
MGH44	MGH44-P4-B02	nonTumor	P4	B02
MGH44	MGH44-P4-B05	nonTumor	P4	B05
MGH44	MGH44-P4-B12	nonTumor	P4	B12
MGH44	MGH44-P4-C08	nonTumor	P4	C08
MGH44	MGH44-P4-C11	nonTumor	P4	C11
MGH44	MGH44-P4-D05	nonTumor	P4	D05
MGH44	MGH44-P4-D08	nonTumor	P4	D08
MGH44	MGH44-P4-D09	nonTumor	P4	D09
MGH44	MGH44-P4-E09	nonTumor	P4	E09
MGH44	MGH44-P4-F03	nonTumor	P4	F03
MGH44	MGH44-P4-G01	nonTumor	P4	G01
MGH44	MGH44-P4-G02	nonTumor	P4	G02
MGH44	MGH44-P4-G07	nonTumor	P4	G07
MGH44	MGH44-P4-G08	nonTumor	P4	G08
MGH44	MGH44-P4-G09	nonTumor	P4	G09
MGH44	MGH44-P4-H03	nonTumor	P4	H03
MGH44	MGH44-P4-H12	nonTumor	P4	H12
MGH44	MGH44-P5-A07	nonTumor	P5	A07
MGH44	MGH44-P5-A11	nonTumor	P5	A11
MGH44	MGH44-P5-C01	nonTumor	P5	C01
MGH44	MGH44-P5-C08	nonTumor	P5	C08
MGH44	MGH44-P5-C09	nonTumor	P5	C09
MGH44	MGH44-P5-C12	nonTumor	P5	C12
MGH44	MGH44-P5-D03	nonTumor	P5	D03
MGH44	MGH44-P5-D07	nonTumor	P5	D07
MGH44	MGH44-P5-D10	nonTumor	P5	D10
MGH44	MGH44-P5-E09	nonTumor	P5	E09
MGH44	MGH44-P5-G05	nonTumor	P5	G05
MGH44	MGH44-P5-G08	nonTumor	P5	G08
MGH44	MGH44-P5-G10	nonTumor	P5	G10
MGH44	MGH44-P5-H04	nonTumor	P5	H04
MGH44	MGH44-P5-H12	nonTumor	P5	H12
MGH45	MGH45-P10-A01	Tumor	P10	A01
MGH45	MGH45-P10-A02	Tumor	P10	A02
MGH45	MGH45-P10-A05	Tumor	P10	A05
MGH45	MGH45-P10-A06	Tumor	P10	A06
MGH45	MGH45-P10-A08	Tumor	P10	A08
MGH45	MGH45-P10-A11	Tumor	P10	A11
MGH45	MGH45-P10-A12	Tumor	P10	A12
MGH45	MGH45-P10-B03	Tumor	P10	B03
MGH45	MGH45-P10-B04	Tumor	P10	B04
MGH45	MGH45-P10-B05	Tumor	P10	B05
MGH45	MGH45-P10-B07	Tumor	P10	B07
MGH45	MGH45-P10-B08	Tumor	P10	B08
MGH45	MGH45-P10-B09	Tumor	P10	B09
MGH45	MGH45-P10-B10	Tumor	P10	B10
MGH45	MGH45-P10-B11	Tumor	P10	B11
MGH45	MGH45-P10-B12	Tumor	P10	B12
MGH45	MGH45-P10-C01	Tumor	P10	C01
MGH45	MGH45-P10-C03	Tumor	P10	C03
MGH45	MGH45-P10-C08	Tumor	P10	C08
MGH45	MGH45-P10-C10	Tumor	P10	C10
MGH45	MGH45-P10-C11	Tumor	P10	C11
MGH45	MGH45-P10-C12	Tumor	P10	C12
MGH45	MGH45-P10-D04	Tumor	P10	D04
MGH45	MGH45-P10-D06	Tumor	P10	D06
MGH45	MGH45-P10-D07	Tumor	P10	D07
MGH45	MGH45-P10-D09	Tumor	P10	D09
MGH45	MGH45-P10-D10	Tumor	P10	D10
MGH45	MGH45-P10-D12	Tumor	P10	D12
MGH45	MGH45-P10-E01	Tumor	P10	E01
MGH45	MGH45-P10-E02	Tumor	P10	E02
MGH45	MGH45-P10-E03	Tumor	P10	E03
MGH45	MGH45-P10-E04	Tumor	P10	E04
MGH45	MGH45-P10-E10	Tumor	P10	E10
MGH45	MGH45-P10-E11	Tumor	P10	E11
MGH45	MGH45-P10-E12	Tumor	P10	E12
MGH45	MGH45-P10-F01	Tumor	P10	F01
MGH45	MGH45-P10-F02	Tumor	P10	F02
MGH45	MGH45-P10-F03	Tumor	P10	F03
MGH45	MGH45-P10-F04	Tumor	P10	F04
MGH45	MGH45-P10-F05	Tumor	P10	F05
MGH45	MGH45-P10-F06	Tumor	P10	F06
MGH45	MGH45-P10-F07	Tumor	P10	F07
MGH45	MGH45-P10-F08	Tumor	P10	F08
MGH45	MGH45-P10-F09	Tumor	P10	F09
MGH45	MGH45-P10-F11	Tumor	P10	F11
MGH45	MGH45-P10-F12	Tumor	P10	F12
MGH45	MGH45-P10-G02	Tumor	P10	G02
MGH45	MGH45-P10-G04	Tumor	P10	G04
MGH45	MGH45-P10-G05	Tumor	P10	G05
MGH45	MGH45-P10-G06	Tumor	P10	G06
MGH45	MGH45-P10-G07	Tumor	P10	G07
MGH45	MGH45-P10-G10	Tumor	P10	G10
MGH45	MGH45-P10-G11	Tumor	P10	G11
MGH45	MGH45-P10-G12	Tumor	P10	G12
MGH45	MGH45-P10-H01	Tumor	P10	H01
MGH45	MGH45-P10-H02	Tumor	P10	H02
MGH45	MGH45-P10-H04	Tumor	P10	H04
MGH45	MGH45-P10-H06	Tumor	P10	H06
MGH45	MGH45-P10-H07	Tumor	P10	H07
MGH45	MGH45-P10-H08	Tumor	P10	H08
MGH45	MGH45-P10-H10	Tumor	P10	H10
MGH45	MGH45-P10-H12	Tumor	P10	H12
MGH45	MGH45-P4-A01	Tumor	P4	A01
MGH45	MGH45-P4-A02	Tumor	P4	A02
MGH45	MGH45-P4-A08	Tumor	P4	A08
MGH45	MGH45-P4-A10	Tumor	P4	A10
MGH45	MGH45-P4-A11	Tumor	P4	A11
MGH45	MGH45-P4-A12	Tumor	P4	A12
MGH45	MGH45-P4-B01	Tumor	P4	B01
MGH45	MGH45-P4-B05	Tumor	P4	B05
MGH45	MGH45-P4-B06	Tumor	P4	B06
MGH45	MGH45-P4-B08	Tumor	P4	B08
MGH45	MGH45-P4-B11	Tumor	P4	B11
MGH45	MGH45-P4-C07	Tumor	P4	C07
MGH45	MGH45-P4-C08	Tumor	P4	C08
MGH45	MGH45-P4-C10	Tumor	P4	C10
MGH45	MGH45-P4-D02	Tumor	P4	D02
MGH45	MGH45-P4-D05	Tumor	P4	D05
MGH45	MGH45-P4-D08	Tumor	P4	D08
MGH45	MGH45-P4-D09	Tumor	P4	D09
MGH45	MGH45-P4-D12	Tumor	P4	D12
MGH45	MGH45-P4-E01	Tumor	P4	E01
MGH45	MGH45-P4-E03	Tumor	P4	E03
MGH45	MGH45-P4-E04	Tumor	P4	E04
MGH45	MGH45-P4-E10	Tumor	P4	E10
MGH45	MGH45-P4-E12	Tumor	P4	E12
MGH45	MGH45-P4-F07	Tumor	P4	F07
MGH45	MGH45-P4-F08	Tumor	P4	F08
MGH45	MGH45-P4-F11	Tumor	P4	F11
MGH45	MGH45-P4-F12	Tumor	P4	F12
MGH45	MGH45-P4-G04	Tumor	P4	G04
MGH45	MGH45-P4-G05	Tumor	P4	G05
MGH45	MGH45-P4-G08	Tumor	P4	G08
MGH45	MGH45-P4-G10	Tumor	P4	G10
MGH45	MGH45-P4-G11	Tumor	P4	G11
MGH45	MGH45-P4-G12	Tumor	P4	G12
MGH45	MGH45-P4-H01	Tumor	P4	H01
MGH45	MGH45-P4-H02	Tumor	P4	H02
MGH45	MGH45-P4-H03	Tumor	P4	H03
MGH45	MGH45-P4-H05	Tumor	P4	H05
MGH45	MGH45-P4-H06	Tumor	P4	H06
MGH45	MGH45-P4-H07	Tumor	P4	H07
MGH45	MGH45-P4-H08	Tumor	P4	H08
MGH45	MGH45-P4-H10	Tumor	P4	H10
MGH45	MGH45-P4-H11	Tumor	P4	H11
MGH45	MGH45-P11-A01	Tumor	P11	A01
MGH45	MGH45-P11-A02	Tumor	P11	A02
MGH45	MGH45-P11-A03	Tumor	P11	A03
MGH45	MGH45-P11-A04	Tumor	P11	A04
MGH45	MGH45-P11-A06	Tumor	P11	A06
MGH45	MGH45-P11-A07	Tumor	P11	A07
MGH45	MGH45-P11-A08	Tumor	P11	A08
MGH45	MGH45-P11-A09	Tumor	P11	A09
MGH45	MGH45-P11-A10	Tumor	P11	A10
MGH45	MGH45-P11-A11	Tumor	P11	A11
MGH45	MGH45-P11-A12	Tumor	P11	A12
MGH45	MGH45-P11-B01	Tumor	P11	B01
MGH45	MGH45-P11-B02	Tumor	P11	B02
MGH45	MGH45-P11-B05	Tumor	P11	B05
MGH45	MGH45-P11-B08	Tumor	P11	B08
MGH45	MGH45-P11-B11	Tumor	P11	B11
MGH45	MGH45-P11-C01	Tumor	P11	C01
MGH45	MGH45-P11-C02	Tumor	P11	C02
MGH45	MGH45-P11-C03	Tumor	P11	C03
MGH45	MGH45-P11-C04	Tumor	P11	C04
MGH45	MGH45-P11-C06	Tumor	P11	C06
MGH45	MGH45-P11-C07	Tumor	P11	C07
MGH45	MGH45-P11-C08	Tumor	P11	C08
MGH45	MGH45-P11-C09	Tumor	P11	C09
MGH45	MGH45-P11-D01	Tumor	P11	D01
MGH45	MGH45-P11-D02	Tumor	P11	D02
MGH45	MGH45-P11-D03	Tumor	P11	D03
MGH45	MGH45-P11-D05	Tumor	P11	D05
MGH45	MGH45-P11-D07	Tumor	P11	D07
MGH45	MGH45-P11-D08	Tumor	P11	D08
MGH45	MGH45-P11-D10	Tumor	P11	D10
MGH45	MGH45-P11-D11	Tumor	P11	D11
MGH45	MGH45-P11-D12	Tumor	P11	D12
MGH45	MGH45-P11-E03	Tumor	P11	E03
MGH45	MGH45-P11-E04	Tumor	P11	E04
MGH45	MGH45-P11-E05	Tumor	P11	E05
MGH45	MGH45-P11-E06	Tumor	P11	E06
MGH45	MGH45-P11-E07	Tumor	P11	E07
MGH45	MGH45-P11-E08	Tumor	P11	E08
MGH45	MGH45-P11-E09	Tumor	P11	E09
MGH45	MGH45-P11-E10	Tumor	P11	E10
MGH45	MGH45-P11-E11	Tumor	P11	E11
MGH45	MGH45-P11-E12	Tumor	P11	E12
MGH45	MGH45-P11-F02	Tumor	P11	F02
MGH45	MGH45-P11-F03	Tumor	P11	F03
MGH45	MGH45-P11-F04	Tumor	P11	F04
MGH45	MGH45-P11-F06	Tumor	P11	F06
MGH45	MGH45-P11-F07	Tumor	P11	F07
MGH45	MGH45-P11-F08	Tumor	P11	F08
MGH45	MGH45-P11-F09	Tumor	P11	F09
MGH45	MGH45-P11-F10	Tumor	P11	F10
MGH45	MGH45-P11-F12	Tumor	P11	F12
MGH45	MGH45-P11-G01	Tumor	P11	G01
MGH45	MGH45-P11-G02	Tumor	P11	G02
MGH45	MGH45-P11-G03	Tumor	P11	G03
MGH45	MGH45-P11-G04	Tumor	P11	G04
MGH45	MGH45-P11-G05	Tumor	P11	G05
MGH45	MGH45-P11-G06	Tumor	P11	G06
MGH45	MGH45-P11-G07	Tumor	P11	G07
MGH45	MGH45-P11-G08	Tumor	P11	G08
MGH45	MGH45-P11-G09	Tumor	P11	G09
MGH45	MGH45-P11-G11	Tumor	P11	G11
MGH45	MGH45-P11-G12	Tumor	P11	G12
MGH45	MGH45-P11-H01	Tumor	P11	H01
MGH45	MGH45-P11-H02	Tumor	P11	H02
MGH45	MGH45-P11-H05	Tumor	P11	H05
MGH45	MGH45-P11-H06	Tumor	P11	H06
MGH45	MGH45-P11-H07	Tumor	P11	H07
MGH45	MGH45-P11-H09	Tumor	P11	H09
MGH45	MGH45-P11-H10	Tumor	P11	H10
MGH45	MGH45-P11-H11	Tumor	P11	H11
MGH45	MGH45-P11-H12	Tumor	P11	H12
MGH45	MGH45-P12-A01	Tumor	P12	A01
MGH45	MGH45-P12-A02	Tumor	P12	A02
MGH45	MGH45-P12-A03	Tumor	P12	A03
MGH45	MGH45-P12-A04	Tumor	P12	A04
MGH45	MGH45-P12-A05	Tumor	P12	A05
MGH45	MGH45-P12-A06	Tumor	P12	A06
MGH45	MGH45-P12-A07	Tumor	P12	A07
MGH45	MGH45-P12-A08	Tumor	P12	A08
MGH45	MGH45-P12-A09	Tumor	P12	A09
MGH45	MGH45-P12-A10	Tumor	P12	A10
MGH45	MGH45-P12-A11	Tumor	P12	A11
MGH45	MGH45-P12-A12	Tumor	P12	A12
MGH45	MGH45-P12-B01	Tumor	P12	B01
MGH45	MGH45-P12-B02	Tumor	P12	B02
MGH45	MGH45-P12-B04	Tumor	P12	B04
MGH45	MGH45-P12-B05	Tumor	P12	B05
MGH45	MGH45-P12-B06	Tumor	P12	B06
MGH45	MGH45-P12-B07	Tumor	P12	B07
MGH45	MGH45-P12-B08	Tumor	P12	B08
MGH45	MGH45-P12-B12	Tumor	P12	B12
MGH45	MGH45-P12-C01	Tumor	P12	C01
MGH45	MGH45-P12-C03	Tumor	P12	C03
MGH45	MGH45-P12-C04	Tumor	P12	C04
MGH45	MGH45-P12-C05	Tumor	P12	C05
MGH45	MGH45-P12-C07	Tumor	P12	C07
MGH45	MGH45-P12-C08	Tumor	P12	C08
MGH45	MGH45-P12-C09	Tumor	P12	C09
MGH45	MGH45-P12-C10	Tumor	P12	C10
MGH45	MGH45-P12-C12	Tumor	P12	C12
MGH45	MGH45-P12-D01	Tumor	P12	D01
MGH45	MGH45-P12-D02	Tumor	P12	D02
MGH45	MGH45-P12-D03	Tumor	P12	D03
MGH45	MGH45-P12-D04	Tumor	P12	D04
MGH45	MGH45-P12-D05	Tumor	P12	D05
MGH45	MGH45-P12-D06	Tumor	P12	D06
MGH45	MGH45-P12-D07	Tumor	P12	D07
MGH45	MGH45-P12-D08	Tumor	P12	D08
MGH45	MGH45-P12-D09	Tumor	P12	D09
MGH45	MGH45-P12-D10	Tumor	P12	D10
MGH45	MGH45-P12-D12	Tumor	P12	D12
MGH45	MGH45-P12-E01	Tumor	P12	E01
MGH45	MGH45-P12-E02	Tumor	P12	E02
MGH45	MGH45-P12-E03	Tumor	P12	E03
MGH45	MGH45-P12-E06	Tumor	P12	E06
MGH45	MGH45-P12-E08	Tumor	P12	E08
MGH45	MGH45-P12-E10	Tumor	P12	E10
MGH45	MGH45-P12-E11	Tumor	P12	E11
MGH45	MGH45-P12-F01	Tumor	P12	F01
MGH45	MGH45-P12-F02	Tumor	P12	F02
MGH45	MGH45-P12-F03	Tumor	P12	F03
MGH45	MGH45-P12-F04	Tumor	P12	F04
MGH45	MGH45-P12-F05	Tumor	P12	F05
MGH45	MGH45-P12-F07	Tumor	P12	F07
MGH45	MGH45-P12-F08	Tumor	P12	F08
MGH45	MGH45-P12-F11	Tumor	P12	F11
MGH45	MGH45-P12-F12	Tumor	P12	F12
MGH45	MGH45-P12-G01	Tumor	P12	G01
MGH45	MGH45-P12-G04	Tumor	P12	G04
MGH45	MGH45-P12-G05	Tumor	P12	G05
MGH45	MGH45-P12-G06	Tumor	P12	G06
MGH45	MGH45-P12-G07	Tumor	P12	G07
MGH45	MGH45-P12-G08	Tumor	P12	G08
MGH45	MGH45-P12-G09	Tumor	P12	G09
MGH45	MGH45-P12-G10	Tumor	P12	G10
MGH45	MGH45-P12-G11	Tumor	P12	G11
MGH45	MGH45-P12-H01	Tumor	P12	H01
MGH45	MGH45-P12-H03	Tumor	P12	H03
MGH45	MGH45-P12-H06	Tumor	P12	H06
MGH45	MGH45-P12-H10	Tumor	P12	H10
MGH45	MGH45-P12-H12	Tumor	P12	H12
MGH45	MGH45-P7-A02	Tumor	P7	A02
MGH45	MGH45-P7-A07	Tumor	P7	A07
MGH45	MGH45-P7-A09	Tumor	P7	A09
MGH45	MGH45-P7-A12	Tumor	P7	A12
MGH45	MGH45-P7-B05	Tumor	P7	B05
MGH45	MGH45-P7-B06	Tumor	P7	B06
MGH45	MGH45-P7-B08	Tumor	P7	B08
MGH45	MGH45-P7-B12	Tumor	P7	B12
MGH45	MGH45-P7-C01	Tumor	P7	C01
MGH45	MGH45-P7-C02	Tumor	P7	C02
MGH45	MGH45-P7-C04	Tumor	P7	C04
MGH45	MGH45-P7-C05	Tumor	P7	C05
MGH45	MGH45-P7-C06	Tumor	P7	C06
MGH45	MGH45-P7-C07	Tumor	P7	C07
MGH45	MGH45-P7-C08	Tumor	P7	C08
MGH45	MGH45-P7-D01	Tumor	P7	D01
MGH45	MGH45-P7-D02	Tumor	P7	D02
MGH45	MGH45-P7-D05	Tumor	P7	D05
MGH45	MGH45-P7-D07	Tumor	P7	D07
MGH45	MGH45-P7-D10	Tumor	P7	D10
MGH45	MGH45-P7-D12	Tumor	P7	D12
MGH45	MGH45-P7-E01	Tumor	P7	E01
MGH45	MGH45-P7-E05	Tumor	P7	E05
MGH45	MGH45-P7-E06	Tumor	P7	E06
MGH45	MGH45-P7-E10	Tumor	P7	E10
MGH45	MGH45-P7-F01	Tumor	P7	F01
MGH45	MGH45-P7-F03	Tumor	P7	F03
MGH45	MGH45-P7-F04	Tumor	P7	F04
MGH45	MGH45-P7-F08	Tumor	P7	F08
MGH45	MGH45-P7-F09	Tumor	P7	F09
MGH45	MGH45-P7-G01	Tumor	P7	G01
MGH45	MGH45-P7-G02	Tumor	P7	G02
MGH45	MGH45-P7-G04	Tumor	P7	G04
MGH45	MGH45-P7-G07	Tumor	P7	G07
MGH45	MGH45-P7-G08	Tumor	P7	G08
MGH45	MGH45-P7-G11	Tumor	P7	G11
MGH45	MGH45-P7-G12	Tumor	P7	G12
