patient	plate	sample	Tumor	celltype1	fq1_url	fq2_url
Melanoma_81	cy81_FNA_CD45_neg	cy81_FNA_CD45_neg_E09_S1017_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-E09_S1017_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-E09_S1017_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_C09_S321_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-C09_S321_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-C09_S321_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_pos	cy79_p5_CD45_neg_PDL1_pos_C04_S700_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-pos-C04_S700_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-pos-C04_S700_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_1	cy82_CD45_pos_1_G10_S562_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-1-G10_S562_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-1-G10_S562_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_1	cy82_CD45_pos_1_B11_S503_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-1-B11_S503_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-1-B11_S503_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_D09_S429_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-D09_S429_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-D09_S429_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_1	cy82_CD45_pos_1_D01_S517_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-1-D01_S517_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-1-D01_S517_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_3	cy82_CD45_pos_3_B12_S24_comb	nonTumor	Macrophage	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-B12_S24_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-B12_S24_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_H05_S473_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-H05_S473_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-H05_S473_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_B08_S404_comb	Unknown	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-B08_S404_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-B08_S404_comb_R2_001.fastq.gz
Melanoma_80	cy80_CD45_neg	cy80_CD45_neg_E05_S917_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-E05_S917_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-E05_S917_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_pos_PD1_pos	cy79_p5_CD45_pos_PD1_pos_E06_S630_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-E06_S630_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-E06_S630_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_C06_S414_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-C06_S414_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-C06_S414_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_pos_PD1_pos	cy79_p5_CD45_pos_PD1_pos_B10_S598_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-B10_S598_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-B10_S598_comb_R2_001.fastq.gz
Melanoma_81	cy81_Bulk_CD45_neg	cy81_Bulk_CD45_neg_H12_S192_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-H12_S192_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-H12_S192_comb_R2_001.fastq.gz
Melanoma_81	cy81_FNA_CD45_neg	cy81_FNA_CD45_neg_D01_S997_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-D01_S997_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-D01_S997_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_pos	cy79_p5_CD45_neg_PDL1_pos_H09_S765_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-pos-H09_S765_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-pos-H09_S765_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_neg	cy79_p4_CD45_neg_PDL1_neg_C08_S1088_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-neg-C08_S1088_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-neg-C08_S1088_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_neg	cy79_p5_CD45_neg_PDL1_neg_A09_S777_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-A09_S777_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-A09_S777_comb_R2_001.fastq.gz
Melanoma_81	cy81_FNA_CD45_neg	cy81_FNA_CD45_neg_D03_S999_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-D03_S999_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-D03_S999_comb_R2_001.fastq.gz
Melanoma_81	cy81_FNA_CD45_neg	cy81_FNA_CD45_neg_E06_S1014_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-E06_S1014_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-E06_S1014_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_E11_S347_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-E11_S347_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-E11_S347_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_B07_S403_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-B07_S403_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-B07_S403_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_pos_PD1_pos	cy79_p5_CD45_pos_PD1_pos_A03_S579_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-A03_S579_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-A03_S579_comb_R2_001.fastq.gz
Melanoma_81	cy81_FNA_CD45_neg	cy81_FNA_CD45_neg_C11_S995_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-C11_S995_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-FNA-CD45-neg-C11_S995_comb_R2_001.fastq.gz
Melanoma_80	cy80_CD45_neg	cy80_CD45_neg_B03_S879_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-B03_S879_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-B03_S879_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_F10_S358_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-F10_S358_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-F10_S358_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_3	cy82_CD45_pos_3_C07_S31_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-C07_S31_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-C07_S31_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_A06_S390_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-A06_S390_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-A06_S390_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_neg	cy79_p4_CD45_neg_PDL1_neg_H05_S1145_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-neg-H05_S1145_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-neg-H05_S1145_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_F05_S353_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-F05_S353_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-F05_S353_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_neg	cy79_p4_CD45_neg_PDL1_neg_E09_S1113_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-neg-E09_S1113_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-neg-E09_S1113_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_F11_S359_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-F11_S359_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-F11_S359_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_pos_PD1_pos	cy79_p5_CD45_pos_PD1_pos_C02_S602_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-C02_S602_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-C02_S602_comb_R2_001.fastq.gz
Melanoma_81	cy81_Bulk_CD45_neg	cy81_Bulk_CD45_neg_D01_S133_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-D01_S133_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-D01_S133_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_neg	cy79_p5_CD45_neg_PDL1_neg_G08_S848_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-G08_S848_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-G08_S848_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_F04_S448_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-F04_S448_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-F04_S448_comb_R2_001.fastq.gz
Melanoma_81	cy81_Bulk_CD45_neg	cy81_Bulk_CD45_neg_E03_S147_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-E03_S147_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-E03_S147_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_pos	cy79_p5_CD45_neg_PDL1_pos_B03_S687_comb	Unknown	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-pos-B03_S687_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-pos-B03_S687_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_A08_S296_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-A08_S296_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-A08_S296_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_F09_S357_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-F09_S357_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-F09_S357_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_pos_PD1_pos	cy79_p5_CD45_pos_PD1_pos_B03_S591_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-B03_S591_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-B03_S591_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_pos_PD1_pos	cy79_p5_CD45_pos_PD1_pos_G07_S655_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-G07_S655_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-G07_S655_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_neg	cy79_p4_CD45_neg_PDL1_neg_D08_S1100_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-neg-D08_S1100_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-neg-D08_S1100_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_pos_PD1_pos	cy79_p5_CD45_pos_PD1_pos_D05_S617_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-D05_S617_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-D05_S617_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_pos_PD1_pos	cy79_p5_CD45_pos_PD1_pos_A08_S584_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-A08_S584_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-pos-PD1-pos-A08_S584_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_3	cy82_CD45_pos_3_A12_S12_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-A12_S12_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-A12_S12_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_G11_S371_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-G11_S371_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-G11_S371_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_neg	cy79_p5_CD45_neg_PDL1_neg_F04_S832_comb	Unknown	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-F04_S832_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-F04_S832_comb_R2_001.fastq.gz
Melanoma_81	cy81_Bulk_CD45_neg	cy81_Bulk_CD45_neg_B02_S110_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-B02_S110_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-B02_S110_comb_R2_001.fastq.gz
Melanoma_80	cy80_CD45_neg	cy80_CD45_neg_A06_S870_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-A06_S870_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-A06_S870_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_A02_S290_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-A02_S290_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-A02_S290_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_B12_S408_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-B12_S408_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-B12_S408_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_G09_S465_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-G09_S465_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-G09_S465_comb_R2_001.fastq.gz
Melanoma_81	cy81_Bulk_CD45_neg	cy81_Bulk_CD45_neg_B04_S112_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-B04_S112_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy81-Bulk-CD45-neg-B04_S112_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_3	cy82_CD45_pos_3_H12_S96_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-H12_S96_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-H12_S96_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_neg	cy79_p5_CD45_neg_PDL1_neg_H11_S863_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-H11_S863_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-H11_S863_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_E08_S344_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-E08_S344_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-E08_S344_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_pos_PD1_pos	cy79_p4_CD45_pos_PD1_pos_G04_S364_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-G04_S364_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-pos-PD1-pos-G04_S364_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_neg	cy79_p5_CD45_neg_PDL1_neg_D02_S806_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-D02_S806_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-D02_S806_comb_R2_001.fastq.gz
Melanoma_79	cy79_p5_CD45_neg_PDL1_neg	cy79_p5_CD45_neg_PDL1_neg_B07_S787_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-B07_S787_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p5-CD45-neg-PDL1-neg-B07_S787_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_3	cy82_CD45_pos_3_B08_S20_comb	nonTumor	NK	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-B08_S20_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-3-B08_S20_comb_R2_001.fastq.gz
Melanoma_79	cy79_p4_CD45_neg_PDL1_pos	cy79_p4_CD45_neg_PDL1_pos_F01_S445_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-F01_S445_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy79-p4-CD45-neg-PDL1-pos-F01_S445_comb_R2_001.fastq.gz
Melanoma_82	cy82_CD45_pos_1	cy82_CD45_pos_1_H12_S576_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-1-H12_S576_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy82-CD45-pos-1-H12_S576_comb_R2_001.fastq.gz
