cell	celltype1	GSM	Run	sample	depletion_batch	patient	Tumor	QC_status	plate	well
PT089_P9_D04_S136	Stroma	GSM3326403	SRR7666577	B6	depleted_yes	PT089	nonTumor	Passed	P9	D04
PT089_P9_D05_S137	Tumor	GSM3326404	SRR7666578	B6	depleted_yes	PT089	Tumor	Passed	P9	D05
PT089_P9_D06_S138	Tumor	GSM3326405	SRR7666579	B6	depleted_yes	PT089	Tumor	Passed	P9	D06
PT089_P9_D07_S139	Tumor	GSM3326406	SRR7666580	B6	depleted_yes	PT089	Tumor	Passed	P9	D07
PT089_P9_D08_S140	Tumor	GSM3326407	SRR7666581	B6	depleted_yes	PT089	Tumor	Passed	P9	D08
PT089_P9_D09_S141	Stroma	GSM3326408	SRR7666582	B6	depleted_yes	PT089	nonTumor	Passed	P9	D09
PT089_P9_D10_S142	Tumor	GSM3326409	SRR7666583	B6	depleted_yes	PT089	Tumor	Passed	P9	D10
PT089_P9_D11_S143	Tumor	GSM3326410	SRR7666584	B6	depleted_yes	PT089	Tumor	Passed	P9	D11
PT089_P9_D12_S144	Tumor	GSM3326411	SRR7666585	B6	depleted_yes	PT089	Tumor	Passed	P9	D12
PT089_P9_E01_S145	Tumor	GSM3326412	SRR7666586	B6	depleted_yes	PT089	Tumor	Passed	P9	E01
PT089_P9_E02_S146	Stroma	GSM3326413	SRR7666587	B6	depleted_yes	PT089	nonTumor	Passed	P9	E02
PT089_P9_E03_S147	Tumor	GSM3326414	SRR7666588	B6	depleted_yes	PT089	Tumor	Passed	P9	E03
PT089_P9_E04_S148	Tumor	GSM3326415	SRR7666589	B6	depleted_yes	PT089	Tumor	Passed	P9	E04
PT089_P9_E05_S149	Stroma	GSM3326416	SRR7666590	B6	depleted_yes	PT089	nonTumor	Passed	P9	E05
PT089_P9_E06_S150	Tumor	GSM3326417	SRR7666591	B6	depleted_yes	PT089	Tumor	Passed	P9	E06
PT089_P9_E07_S151	Tumor	GSM3326418	SRR7666592	B6	depleted_yes	PT089	Tumor	Passed	P9	E07
PT089_P9_E08_S152	Endothelial	GSM3326419	SRR7666593	B6	depleted_yes	PT089	nonTumor	Passed	P9	E08
PT089_P9_E09_S153	Stroma	GSM3326420	SRR7666594	B6	depleted_yes	PT089	nonTumor	Passed	P9	E09
PT089_P9_E10_S154	Tumor	GSM3326421	SRR7666595	B6	depleted_yes	PT089	Tumor	Passed	P9	E10
PT089_P9_E11_S155	Tumor	GSM3326422	SRR7666596	B6	depleted_yes	PT089	Tumor	Passed	P9	E11
PT089_P9_E12_S156	Tumor	GSM3326423	SRR7666597	B6	depleted_yes	PT089	Tumor	Passed	P9	E12
PT089_P9_F01_S157	Stroma	GSM3326424	SRR7666598	B6	depleted_yes	PT089	nonTumor	Passed	P9	F01
PT089_P9_F02_S158	Tumor	GSM3326425	SRR7666599	B6	depleted_yes	PT089	Tumor	Passed	P9	F02
PT089_P9_F03_S159	Tumor	GSM3326426	SRR7666600	B6	depleted_yes	PT089	Tumor	Passed	P9	F03
PT089_P9_F04_S160	Tumor	GSM3326427	SRR7666601	B6	depleted_yes	PT089	Tumor	Passed	P9	F04
PT089_P9_F05_S161	Tumor	GSM3326428	SRR7666602	B6	depleted_yes	PT089	Tumor	Passed	P9	F05
PT089_P9_F06_S162	Tumor	GSM3326429	SRR7666603	B6	depleted_yes	PT089	Tumor	Passed	P9	F06
PT089_P9_F07_S163	Tumor	GSM3326430	SRR7666604	B6	depleted_yes	PT089	Tumor	Passed	P9	F07
PT089_P9_F08_S164	Tumor	GSM3326431	SRR7666605	B6	depleted_yes	PT089	Tumor	Passed	P9	F08
PT089_P9_F09_S165	Tumor	GSM3326432	SRR7666606	B6	depleted_yes	PT089	Tumor	Passed	P9	F09
PT089_P9_F11_S167	Tumor	GSM3326433	SRR7666607	B6	depleted_yes	PT089	Tumor	Passed	P9	F11
PT089_P9_G01_S169	Tumor	GSM3326434	SRR7666608	B6	depleted_yes	PT089	Tumor	Passed	P9	G01
PT089_P9_G02_S170	Stroma	GSM3326435	SRR7666609	B6	depleted_yes	PT089	nonTumor	Passed	P9	G02
PT089_P9_G03_S171	Tumor	GSM3326436	SRR7666610	B6	depleted_yes	PT089	Tumor	Passed	P9	G03
PT089_P9_G04_S172	Tumor	GSM3326437	SRR7666611	B6	depleted_yes	PT089	Tumor	Passed	P9	G04
PT089_P9_G05_S173	Tumor	GSM3326438	SRR7666612	B6	depleted_yes	PT089	Tumor	Passed	P9	G05
PT089_P9_G06_S174	Tumor	GSM3326439	SRR7666613	B6	depleted_yes	PT089	Tumor	Passed	P9	G06
PT089_P9_G07_S175	Stroma	GSM3326440	SRR7666614	B6	depleted_yes	PT089	nonTumor	Passed	P9	G07
PT089_P9_G08_S176	Tumor	GSM3326441	SRR7666615	B6	depleted_yes	PT089	Tumor	Passed	P9	G08
PT089_P9_G09_S177	Tumor	GSM3326442	SRR7666616	B6	depleted_yes	PT089	Tumor	Passed	P9	G09
PT089_P9_G10_S178	Tumor	GSM3326443	SRR7666617	B6	depleted_yes	PT089	Tumor	Passed	P9	G10
PT089_P9_G11_S179	Tumor	GSM3326444	SRR7666618	B6	depleted_yes	PT089	Tumor	Passed	P9	G11
PT089_P9_G12_S180	Tumor	GSM3326445	SRR7666619	B6	depleted_yes	PT089	Tumor	Passed	P9	G12
PT089_P9_H01_S181	Stroma	GSM3326446	SRR7666620	B6	depleted_yes	PT089	nonTumor	Passed	P9	H01
PT089_P9_H02_S182	Tumor	GSM3326447	SRR7666621	B6	depleted_yes	PT089	Tumor	Passed	P9	H02
PT089_P9_H03_S183	Tumor	GSM3326448	SRR7666622	B6	depleted_yes	PT089	Tumor	Passed	P9	H03
PT089_P9_H04_S184	Tumor	GSM3326449	SRR7666623	B6	depleted_yes	PT089	Tumor	Passed	P9	H04
PT089_P9_H05_S185	Tumor	GSM3326450	SRR7666624	B6	depleted_yes	PT089	Tumor	Passed	P9	H05
PT089_P9_H06_S186	Tumor	GSM3326451	SRR7666625	B6	depleted_yes	PT089	Tumor	Passed	P9	H06
PT089_P9_H07_S187	Bcell	GSM3326452	SRR7666626	B6	depleted_yes	PT089	nonTumor	Passed	P9	H07
PT089_P9_H09_S189	Tumor	GSM3326454	SRR7666628	B6	depleted_yes	PT089	Tumor	Passed	P9	H09
PT089_P9_H10_S190	Tumor	GSM3326455	SRR7666629	B6	depleted_yes	PT089	Tumor	Passed	P9	H10
PT089_P9_H11_S191	Tumor	GSM3326456	SRR7666630	B6	depleted_yes	PT089	Tumor	Passed	P9	H11
PT089_P9_H12_S192	Tumor	GSM3326457	SRR7666631	B6	depleted_yes	PT089	Tumor	Passed	P9	H12
PT039_P11_A01_S1	Tumor	GSM3326458	SRR7666632	B3	depleted_yes	PT039	Tumor	Passed	P11	A01
PT039_P11_A02_S2	Tumor	GSM3326459	SRR7666633	B3	depleted_yes	PT039	Tumor	Passed	P11	A02
PT039_P11_A03_S3	Tumor	GSM3326460	SRR7666634	B3	depleted_yes	PT039	Tumor	Passed	P11	A03
PT039_P11_A04_S4	Tumor	GSM3326461	SRR7666635	B3	depleted_yes	PT039	Tumor	Passed	P11	A04
PT039_P11_A07_S7	Tumor	GSM3326463	SRR7666637	B3	depleted_yes	PT039	Tumor	Passed	P11	A07
PT039_P11_A09_S9	Tumor	GSM3326464	SRR7666638	B3	depleted_yes	PT039	Tumor	Passed	P11	A09
PT039_P11_A11_S11	Tumor	GSM3326465	SRR7666639	B3	depleted_yes	PT039	Tumor	Passed	P11	A11
PT039_P11_A12_S12	Tumor	GSM3326466	SRR7666640	B3	depleted_yes	PT039	Tumor	Passed	P11	A12
PT039_P11_B02_S14	Tumor	GSM3326467	SRR7666641	B3	depleted_yes	PT039	Tumor	Passed	P11	B02
PT039_P11_B03_S15	Tumor	GSM3326468	SRR7666642	B3	depleted_yes	PT039	Tumor	Passed	P11	B03
PT039_P11_B04_S16	Tumor	GSM3326469	SRR7666643	B3	depleted_yes	PT039	Tumor	Passed	P11	B04
PT039_P11_B05_S17	Tumor	GSM3326470	SRR7666644	B3	depleted_yes	PT039	Tumor	Passed	P11	B05
PT039_P11_B06_S18	Stroma	GSM3326471	SRR7666645	B3	depleted_yes	PT039	nonTumor	Passed	P11	B06
PT039_P11_B07_S19	Tumor	GSM3326472	SRR7666646	B3	depleted_yes	PT039	Tumor	Passed	P11	B07
PT039_P11_B08_S20	Tumor	GSM3326473	SRR7666647	B3	depleted_yes	PT039	Tumor	Passed	P11	B08
PT039_P11_B09_S21	Stroma	GSM3326474	SRR7666648	B3	depleted_yes	PT039	nonTumor	Passed	P11	B09
PT039_P11_B10_S22	Stroma	GSM3326475	SRR7666649	B3	depleted_yes	PT039	nonTumor	Passed	P11	B10
PT039_P11_B11_S23	Tumor	GSM3326476	SRR7666650	B3	depleted_yes	PT039	Tumor	Passed	P11	B11
PT039_P11_C03_S27	Tumor	GSM3326477	SRR7666651	B3	depleted_yes	PT039	Tumor	Passed	P11	C03
PT039_P11_C05_S29	Tumor	GSM3326478	SRR7666652	B3	depleted_yes	PT039	Tumor	Passed	P11	C05
PT039_P11_C06_S30	Tumor	GSM3326479	SRR7666653	B3	depleted_yes	PT039	Tumor	Passed	P11	C06
PT039_P11_C07_S31	Tumor	GSM3326480	SRR7666654	B3	depleted_yes	PT039	Tumor	Passed	P11	C07
PT039_P11_C09_S33	Tumor	GSM3326481	SRR7666655	B3	depleted_yes	PT039	Tumor	Passed	P11	C09
PT039_P11_C11_S35	Tumor	GSM3326482	SRR7666656	B3	depleted_yes	PT039	Tumor	Passed	P11	C11
PT039_P11_C12_S36	Tumor	GSM3326483	SRR7666657	B3	depleted_yes	PT039	Tumor	Passed	P11	C12
PT039_P11_D01_S37	Tumor	GSM3326484	SRR7666658	B3	depleted_yes	PT039	Tumor	Passed	P11	D01
PT039_P11_D02_S38	Tumor	GSM3326485	SRR7666659	B3	depleted_yes	PT039	Tumor	Passed	P11	D02
PT039_P11_D03_S39	Tumor	GSM3326486	SRR7666660	B3	depleted_yes	PT039	Tumor	Passed	P11	D03
PT039_P11_D04_S40	Tumor	GSM3326487	SRR7666661	B3	depleted_yes	PT039	Tumor	Passed	P11	D04
PT039_P11_D05_S41	Tumor	GSM3326488	SRR7666662	B3	depleted_yes	PT039	Tumor	Passed	P11	D05
PT039_P11_D07_S43	Tumor	GSM3326489	SRR7666663	B3	depleted_yes	PT039	Tumor	Passed	P11	D07
PT039_P11_D08_S44	Tumor	GSM3326490	SRR7666664	B3	depleted_yes	PT039	Tumor	Passed	P11	D08
PT039_P11_D09_S45	Tumor	GSM3326491	SRR7666665	B3	depleted_yes	PT039	Tumor	Passed	P11	D09
PT039_P11_D10_S46	Tumor	GSM3326492	SRR7666666	B3	depleted_yes	PT039	Tumor	Passed	P11	D10
PT039_P11_D12_S48	Stroma	GSM3326493	SRR7666667	B3	depleted_yes	PT039	nonTumor	Passed	P11	D12
PT039_P11_E01_S49	Tumor	GSM3326494	SRR7666668	B3	depleted_yes	PT039	Tumor	Passed	P11	E01
PT039_P11_E02_S50	Stroma	GSM3326495	SRR7666669	B3	depleted_yes	PT039	nonTumor	Passed	P11	E02
PT039_P11_E03_S51	Tumor	GSM3326496	SRR7666670	B3	depleted_yes	PT039	Tumor	Passed	P11	E03
PT039_P11_E04_S52	Tumor	GSM3326497	SRR7666671	B3	depleted_yes	PT039	Tumor	Passed	P11	E04
PT039_P11_E05_S53	Tumor	GSM3326498	SRR7666672	B3	depleted_yes	PT039	Tumor	Passed	P11	E05
PT039_P11_E06_S54	Tumor	GSM3326499	SRR7666673	B3	depleted_yes	PT039	Tumor	Passed	P11	E06
PT039_P11_E09_S57	Tumor	GSM3326500	SRR7666674	B3	depleted_yes	PT039	Tumor	Passed	P11	E09
PT039_P11_E11_S59	Tumor	GSM3326501	SRR7666675	B3	depleted_yes	PT039	Tumor	Passed	P11	E11
PT039_P11_E12_S60	Tumor	GSM3326502	SRR7666676	B3	depleted_yes	PT039	Tumor	Passed	P11	E12
PT039_P11_F01_S61	Tumor	GSM3326503	SRR7666677	B3	depleted_yes	PT039	Tumor	Passed	P11	F01
PT039_P11_F02_S62	Tumor	GSM3326504	SRR7666678	B3	depleted_yes	PT039	Tumor	Passed	P11	F02
PT039_P11_F03_S63	Stroma	GSM3326505	SRR7666679	B3	depleted_yes	PT039	nonTumor	Passed	P11	F03
PT039_P11_F05_S65	Tumor	GSM3326506	SRR7666680	B3	depleted_yes	PT039	Tumor	Passed	P11	F05
PT039_P11_F06_S66	Tumor	GSM3326507	SRR7666681	B3	depleted_yes	PT039	Tumor	Passed	P11	F06
PT039_P11_F07_S67	Tumor	GSM3326508	SRR7666682	B3	depleted_yes	PT039	Tumor	Passed	P11	F07
PT039_P11_F10_S70	Tumor	GSM3326509	SRR7666683	B3	depleted_yes	PT039	Tumor	Passed	P11	F10
PT039_P11_F11_S71	Tumor	GSM3326510	SRR7666684	B3	depleted_yes	PT039	Tumor	Passed	P11	F11
PT039_P11_F12_S72	Tumor	GSM3326511	SRR7666685	B3	depleted_yes	PT039	Tumor	Passed	P11	F12
PT039_P11_G01_S73	Tumor	GSM3326512	SRR7666686	B3	depleted_yes	PT039	Tumor	Passed	P11	G01
PT039_P11_G02_S74	Tumor	GSM3326513	SRR7666687	B3	depleted_yes	PT039	Tumor	Passed	P11	G02
PT039_P11_G03_S75	Tumor	GSM3326514	SRR7666688	B3	depleted_yes	PT039	Tumor	Passed	P11	G03
PT039_P11_G04_S76	Tumor	GSM3326515	SRR7666689	B3	depleted_yes	PT039	Tumor	Passed	P11	G04
PT039_P11_G05_S77	Tumor	GSM3326516	SRR7666690	B3	depleted_yes	PT039	Tumor	Passed	P11	G05
PT039_P11_G07_S79	Stroma	GSM3326517	SRR7666691	B3	depleted_yes	PT039	nonTumor	Passed	P11	G07
PT039_P11_G08_S80	Tumor	GSM3326518	SRR7666692	B3	depleted_yes	PT039	Tumor	Passed	P11	G08
PT039_P11_G09_S81	Tumor	GSM3326519	SRR7666693	B3	depleted_yes	PT039	Tumor	Passed	P11	G09
PT039_P11_G10_S82	Tumor	GSM3326520	SRR7666694	B3	depleted_yes	PT039	Tumor	Passed	P11	G10
PT039_P11_G12_S84	Tumor	GSM3326521	SRR7666695	B3	depleted_yes	PT039	Tumor	Passed	P11	G12
PT039_P11_H01_S85	Tumor	GSM3326522	SRR7666696	B3	depleted_yes	PT039	Tumor	Passed	P11	H01
PT039_P11_H02_S86	Tumor	GSM3326523	SRR7666697	B3	depleted_yes	PT039	Tumor	Passed	P11	H02
PT039_P11_H03_S87	Tumor	GSM3326524	SRR7666698	B3	depleted_yes	PT039	Tumor	Passed	P11	H03
PT039_P11_H04_S88	Stroma	GSM3326525	SRR7666699	B3	depleted_yes	PT039	nonTumor	Passed	P11	H04
PT039_P11_H06_S90	Tumor	GSM3326526	SRR7666700	B3	depleted_yes	PT039	Tumor	Passed	P11	H06
PT039_P11_H07_S91	Stroma	GSM3326527	SRR7666701	B3	depleted_yes	PT039	nonTumor	Passed	P11	H07
PT039_P11_H08_S92	Tumor	GSM3326528	SRR7666702	B3	depleted_yes	PT039	Tumor	Passed	P11	H08
PT039_P11_H10_S94	Tumor	GSM3326529	SRR7666703	B3	depleted_yes	PT039	Tumor	Passed	P11	H10
PT039_P11_H12_S96	Tumor	GSM3326530	SRR7666704	B3	depleted_yes	PT039	Tumor	Passed	P11	H12
PT039_P1_A01	Macrophage	GSM3326531	SRR7666705	B1	depleted_no	PT039	nonTumor	Passed	P1	A01
PT039_P1_A02	Macrophage	GSM3326532	SRR7666706	B1	depleted_no	PT039	nonTumor	Passed	P1	A02
PT039_P1_A03	Tumor	GSM3326533	SRR7666707	B1	depleted_no	PT039	Tumor	Passed	P1	A03
PT039_P1_A04	Tumor	GSM3326534	SRR7666708	B1	depleted_no	PT039	Tumor	Passed	P1	A04
PT039_P1_A05	Tumor	GSM3326535	SRR7666709	B1	depleted_no	PT039	Tumor	Passed	P1	A05
PT039_P1_A06	Stroma	GSM3326536	SRR7666710	B1	depleted_no	PT039	nonTumor	Passed	P1	A06
PT039_P1_A07	Stroma	GSM3326537	SRR7666711	B1	depleted_no	PT039	nonTumor	Passed	P1	A07
PT039_P1_A08	Tumor	GSM3326538	SRR7666712	B1	depleted_no	PT039	Tumor	Passed	P1	A08
PT039_P1_A09	Macrophage	GSM3326539	SRR7666713	B1	depleted_no	PT039	nonTumor	Passed	P1	A09
PT039_P1_A10	Macrophage	GSM3326540	SRR7666714	B1	depleted_no	PT039	nonTumor	Passed	P1	A10
PT039_P1_A11	Stroma	GSM3326541	SRR7666715	B1	depleted_no	PT039	nonTumor	Passed	P1	A11
PT039_P1_A12	Macrophage	GSM3326542	SRR7666716	B1	depleted_no	PT039	nonTumor	Passed	P1	A12
PT039_P1_B01	Stroma	GSM3326543	SRR7666717	B1	depleted_no	PT039	nonTumor	Passed	P1	B01
PT039_P1_B02	Tumor	GSM3326544	SRR7666718	B1	depleted_no	PT039	Tumor	Passed	P1	B02
PT039_P1_B04	Tumor	GSM3326546	SRR7666720	B1	depleted_no	PT039	Tumor	Passed	P1	B04
PT039_P1_B05	Tumor	GSM3326547	SRR7666721	B1	depleted_no	PT039	Tumor	Passed	P1	B05
PT039_P1_B06	Tumor	GSM3326548	SRR7666722	B1	depleted_no	PT039	Tumor	Passed	P1	B06
PT039_P1_B09	Tumor	GSM3326551	SRR7666725	B1	depleted_no	PT039	Tumor	Passed	P1	B09
PT039_P1_B10	Macrophage	GSM3326552	SRR7666726	B1	depleted_no	PT039	nonTumor	Passed	P1	B10
PT039_P1_B11	Tumor	GSM3326553	SRR7666727	B1	depleted_no	PT039	Tumor	Passed	P1	B11
PT039_P1_B12	Tumor	GSM3326554	SRR7666728	B1	depleted_no	PT039	Tumor	Passed	P1	B12
PT039_P1_C01	Tumor	GSM3326555	SRR7666729	B1	depleted_no	PT039	Tumor	Passed	P1	C01
PT039_P1_C02	Tumor	GSM3326556	SRR7666730	B1	depleted_no	PT039	Tumor	Passed	P1	C02
PT039_P1_C03	Tumor	GSM3326557	SRR7666731	B1	depleted_no	PT039	Tumor	Passed	P1	C03
PT039_P1_C04	Tumor	GSM3326558	SRR7666732	B1	depleted_no	PT039	Tumor	Passed	P1	C04
PT039_P1_C05	Macrophage	GSM3326559	SRR7666733	B1	depleted_no	PT039	nonTumor	Passed	P1	C05
PT039_P1_C06	Tumor	GSM3326560	SRR7666734	B1	depleted_no	PT039	Tumor	Passed	P1	C06
PT039_P1_C07	Macrophage	GSM3326561	SRR7666735	B1	depleted_no	PT039	nonTumor	Passed	P1	C07
PT039_P1_C08	Tumor	GSM3326562	SRR7666736	B1	depleted_no	PT039	Tumor	Passed	P1	C08
PT039_P1_C09	Tumor	GSM3326563	SRR7666737	B1	depleted_no	PT039	Tumor	Passed	P1	C09
PT039_P1_C10	Tumor	GSM3326564	SRR7666738	B1	depleted_no	PT039	Tumor	Passed	P1	C10
PT039_P1_C11	Tumor	GSM3326565	SRR7666739	B1	depleted_no	PT039	Tumor	Passed	P1	C11
PT039_P1_C12	Tumor	GSM3326566	SRR7666740	B1	depleted_no	PT039	Tumor	Passed	P1	C12
PT039_P1_D01	Tumor	GSM3326567	SRR7666741	B1	depleted_no	PT039	Tumor	Passed	P1	D01
PT039_P1_D02	Tumor	GSM3326568	SRR7666742	B1	depleted_no	PT039	Tumor	Passed	P1	D02
PT039_P1_D03	Tumor	GSM3326569	SRR7666743	B1	depleted_no	PT039	Tumor	Passed	P1	D03
PT039_P1_D04	Tumor	GSM3326570	SRR7666744	B1	depleted_no	PT039	Tumor	Passed	P1	D04
PT039_P1_D05	Tumor	GSM3326571	SRR7666745	B1	depleted_no	PT039	Tumor	Passed	P1	D05
PT039_P1_D06	Tumor	GSM3326572	SRR7666746	B1	depleted_no	PT039	Tumor	Passed	P1	D06
PT039_P1_D07	Macrophage	GSM3326573	SRR7666747	B1	depleted_no	PT039	nonTumor	Passed	P1	D07
PT039_P1_D08	Macrophage	GSM3326574	SRR7666748	B1	depleted_no	PT039	nonTumor	Passed	P1	D08
PT039_P1_D09	Macrophage	GSM3326575	SRR7666749	B1	depleted_no	PT039	nonTumor	Passed	P1	D09
PT039_P1_D10	Tumor	GSM3326576	SRR7666750	B1	depleted_no	PT039	Tumor	Passed	P1	D10
PT039_P1_D11	Bcell	GSM3326577	SRR7666751	B1	depleted_no	PT039	nonTumor	Passed	P1	D11
PT039_P1_D12	Tumor	GSM3326578	SRR7666752	B1	depleted_no	PT039	Tumor	Passed	P1	D12
PT039_P1_E01	Stroma	GSM3326579	SRR7666753	B1	depleted_no	PT039	nonTumor	Passed	P1	E01
PT039_P1_E02	Tumor	GSM3326580	SRR7666754	B1	depleted_no	PT039	Tumor	Passed	P1	E02
PT039_P1_E03	Tumor	GSM3326581	SRR7666755	B1	depleted_no	PT039	Tumor	Passed	P1	E03
PT039_P1_E04	Stroma	GSM3326582	SRR7666756	B1	depleted_no	PT039	nonTumor	Passed	P1	E04
PT039_P1_E05	Stroma	GSM3326583	SRR7666757	B1	depleted_no	PT039	nonTumor	Passed	P1	E05
PT039_P1_E06	Tumor	GSM3326584	SRR7666758	B1	depleted_no	PT039	Tumor	Passed	P1	E06
PT039_P1_E07	Tumor	GSM3326585	SRR7666759	B1	depleted_no	PT039	Tumor	Passed	P1	E07
PT039_P1_E08	Tumor	GSM3326586	SRR7666760	B1	depleted_no	PT039	Tumor	Passed	P1	E08
PT039_P1_E09	Tumor	GSM3326587	SRR7666761	B1	depleted_no	PT039	Tumor	Passed	P1	E09
PT039_P1_E10	Tumor	GSM3326588	SRR7666762	B1	depleted_no	PT039	Tumor	Passed	P1	E10
PT039_P1_E11	Tumor	GSM3326589	SRR7666763	B1	depleted_no	PT039	Tumor	Passed	P1	E11
PT039_P1_F01	Tumor	GSM3326590	SRR7666764	B1	depleted_no	PT039	Tumor	Passed	P1	F01
PT039_P1_F02	Tumor	GSM3326591	SRR7666765	B1	depleted_no	PT039	Tumor	Passed	P1	F02
PT039_P1_F03	Tumor	GSM3326592	SRR7666766	B1	depleted_no	PT039	Tumor	Passed	P1	F03
PT039_P1_F04	Tumor	GSM3326593	SRR7666767	B1	depleted_no	PT039	Tumor	Passed	P1	F04
PT039_P1_F05	Tumor	GSM3326594	SRR7666768	B1	depleted_no	PT039	Tumor	Passed	P1	F05
PT039_P1_F06	Tumor	GSM3326595	SRR7666769	B1	depleted_no	PT039	Tumor	Passed	P1	F06
PT039_P1_F07	Tumor	GSM3326596	SRR7666770	B1	depleted_no	PT039	Tumor	Passed	P1	F07
PT039_P1_F08	Tumor	GSM3326597	SRR7666771	B1	depleted_no	PT039	Tumor	Passed	P1	F08
PT039_P1_F09	Macrophage	GSM3326598	SRR7666772	B1	depleted_no	PT039	nonTumor	Passed	P1	F09
PT039_P1_F10	Tumor	GSM3326599	SRR7666773	B1	depleted_no	PT039	Tumor	Passed	P1	F10
PT058_P1_A01	Tcell	GSM3326600	SRR7666774	B2	depleted_no	PT058	nonTumor	Passed	P1	A01
PT058_P1_A02	Tcell	GSM3326601	SRR7666775	B2	depleted_no	PT058	nonTumor	Passed	P1	A02
PT058_P1_A05	Tumor	GSM3326603	SRR7666777	B2	depleted_no	PT058	Tumor	Passed	P1	A05
PT058_P1_A06	Bcell	GSM3326604	SRR7666778	B2	depleted_no	PT058	nonTumor	Passed	P1	A06
PT058_P1_A07	Tumor	GSM3326605	SRR7666779	B2	depleted_no	PT058	Tumor	Passed	P1	A07
PT058_P1_A08	Tumor	GSM3326606	SRR7666780	B2	depleted_no	PT058	Tumor	Passed	P1	A08
PT058_P1_A10	Tumor	GSM3326607	SRR7666781	B2	depleted_no	PT058	Tumor	Passed	P1	A10
PT058_P1_A11	Tcell	GSM3326608	SRR7666782	B2	depleted_no	PT058	nonTumor	Passed	P1	A11
PT058_P1_A12	Tumor	GSM3326609	SRR7666783	B2	depleted_no	PT058	Tumor	Passed	P1	A12
PT058_P1_B02	Tumor	GSM3326610	SRR7666784	B2	depleted_no	PT058	Tumor	Passed	P1	B02
PT058_P1_B03	Tumor	GSM3326611	SRR7666785	B2	depleted_no	PT058	Tumor	Passed	P1	B03
PT058_P1_B04	Tumor	GSM3326612	SRR7666786	B2	depleted_no	PT058	Tumor	Passed	P1	B04
PT058_P1_B06	Tcell	GSM3326613	SRR7666787	B2	depleted_no	PT058	nonTumor	Passed	P1	B06
PT058_P1_B08	Macrophage	GSM3326614	SRR7666788	B2	depleted_no	PT058	nonTumor	Passed	P1	B08
PT058_P1_B11	Tumor	GSM3326617	SRR7666791	B2	depleted_no	PT058	Tumor	Passed	P1	B11
PT058_P1_C01	Stroma	GSM3326618	SRR7666792	B2	depleted_no	PT058	nonTumor	Passed	P1	C01
PT058_P1_C02	Stroma	GSM3326619	SRR7666793	B2	depleted_no	PT058	nonTumor	Passed	P1	C02
PT058_P1_C06	Tcell	GSM3326622	SRR7666796	B2	depleted_no	PT058	nonTumor	Passed	P1	C06
PT058_P1_C07	Tumor	GSM3326623	SRR7666797	B2	depleted_no	PT058	Tumor	Passed	P1	C07
PT058_P1_C08	Tumor	GSM3326624	SRR7666798	B2	depleted_no	PT058	Tumor	Passed	P1	C08
PT058_P1_C09	Tcell	GSM3326625	SRR7666799	B2	depleted_no	PT058	nonTumor	Passed	P1	C09
PT058_P1_C10	Tumor	GSM3326626	SRR7666800	B2	depleted_no	PT058	Tumor	Passed	P1	C10
PT058_P1_C12	Tumor	GSM3326628	SRR7666802	B2	depleted_no	PT058	Tumor	Passed	P1	C12
PT058_P1_D04	Tumor	GSM3326631	SRR7666805	B2	depleted_no	PT058	Tumor	Passed	P1	D04
PT058_P1_D05	Tcell	GSM3326632	SRR7666806	B2	depleted_no	PT058	nonTumor	Passed	P1	D05
PT058_P1_D06	Tumor	GSM3326633	SRR7666807	B2	depleted_no	PT058	Tumor	Passed	P1	D06
PT058_P1_D07	Tumor	GSM3326634	SRR7666808	B2	depleted_no	PT058	Tumor	Passed	P1	D07
PT058_P1_D09	Tumor	GSM3326635	SRR7666809	B2	depleted_no	PT058	Tumor	Passed	P1	D09
PT058_P1_D11	Tumor	GSM3326636	SRR7666810	B2	depleted_no	PT058	Tumor	Passed	P1	D11
PT058_P1_E01	Tumor	GSM3326638	SRR7666812	B2	depleted_no	PT058	Tumor	Passed	P1	E01
PT058_P1_E03	Tumor	GSM3326640	SRR7666814	B2	depleted_no	PT058	Tumor	Passed	P1	E03
PT058_P1_E04	Macrophage	GSM3326641	SRR7666815	B2	depleted_no	PT058	nonTumor	Passed	P1	E04
PT058_P1_E05	Tcell	GSM3326642	SRR7666816	B2	depleted_no	PT058	nonTumor	Passed	P1	E05
PT058_P1_E06	Tumor	GSM3326643	SRR7666817	B2	depleted_no	PT058	Tumor	Passed	P1	E06
PT058_P1_E07	Tcell	GSM3326644	SRR7666818	B2	depleted_no	PT058	nonTumor	Passed	P1	E07
PT058_P1_E08	Tumor	GSM3326645	SRR7666819	B2	depleted_no	PT058	Tumor	Passed	P1	E08
PT058_P1_E09	Bcell	GSM3326646	SRR7666820	B2	depleted_no	PT058	nonTumor	Passed	P1	E09
PT058_P1_E11	Macrophage	GSM3326648	SRR7666822	B2	depleted_no	PT058	nonTumor	Passed	P1	E11
PT058_P1_E12	Tcell	GSM3326649	SRR7666823	B2	depleted_no	PT058	nonTumor	Passed	P1	E12
PT058_P1_F01	Tcell	GSM3326650	SRR7666824	B2	depleted_no	PT058	nonTumor	Passed	P1	F01
PT058_P1_F02	Bcell	GSM3326651	SRR7666825	B2	depleted_no	PT058	nonTumor	Passed	P1	F02
PT058_P1_F07	Bcell	GSM3326653	SRR7666827	B2	depleted_no	PT058	nonTumor	Passed	P1	F07
